scenario,remove_n,without_best,without_worst
S0_open_5_all,1,-43374.692397425126,-33731.15314582414
S0_open_5_all,3,-50365.176422000135,-25579.292776448143
S0_open_5_all,5,-55700.488030712164,-18851.923051898142
S0_open_5_1000,1,-35112.04356613501,-25468.504314534024
S0_open_5_1000,3,-41376.042295731015,-17316.64394515803
S0_open_5_1000,5,-45307.73415844403,-10759.726875240034
S0_open_10_all,1,-81266.98247685365,-71614.53854765164
S0_open_10_all,3,-88113.57891600364,-63309.784852899655
S0_open_10_all,5,-93324.21280142767,-56454.555815799664
S0_open_10_1000,1,-54061.86586627186,-44409.421937069856
S0_open_10_1000,3,-60206.16580946387,-36104.66824231787
S0_open_10_1000,5,-64052.88460088988,-29425.750426481885
S0_open_11_all,1,-88845.44049274713,-79191.21562802492
S0_open_11_all,3,-95663.25941481213,-70855.8832681977
S0_open_11_all,5,-100848.95775557852,-63975.082368587675
S0_open_11_1000,1,-57851.83032630303,-48197.60546158082
S0_open_11_1000,3,-63972.19051221423,-39862.27310175359
S0_open_11_1000,5,-67801.91468938283,-33158.95513673397
S0_open_12_all,1,-96423.8985086322,-86767.8927083898
S0_open_12_all,3,-103212.93991361218,-78401.9816834874
S0_open_12_all,5,-108373.702709721,-71495.60892136738
S0_open_12_1000,1,-61641.79478633009,-51985.78898608768
S0_open_12_1000,3,-67738.21521496047,-43619.87796118527
S0_open_12_1000,5,-71550.94477787164,-36892.15984698207
S1_F1_open_5_all,1,-1289.0923168831941,6026.521363553809
S1_F1_open_5_all,3,-5286.82544485823,10677.180413103804
S1_F1_open_5_all,5,-9181.515314847238,14242.904364921797
S1_F1_open_5_1000,1,8220.942173759671,13203.995478305675
S1_F1_open_5_1000,3,4255.780108454659,16226.661704819664
S1_F1_open_5_1000,5,457.9102122926488,18785.96669711966
S1_F1_open_6_all,1,-2972.7743770605884,4343.670384663797
S1_F1_open_6_all,3,-6942.455687830596,9006.665464123806
S1_F1_open_6_all,5,-10819.3841354174,12597.68922150541
S1_F1_open_6_1000,1,6834.043032911024,11817.576414366224
S1_F1_open_6_1000,3,2887.7041213450284,14862.953073383025
S1_F1_open_6_1000,5,-881.0072268493823,17431.368784143022
S1_F1_open_7_all,1,-4656.456437237415,2660.819405774382
S1_F1_open_7_all,3,-8598.085930802445,7336.150515144389
