entry_i,entry,sell_ref,exit_i,exit,buy_ref,buy_clock,kind,sale_net,buy_cost,dividend_tax,missed_dividend,cash_increment,net_pct
383,2020-01-02,18.38,384,2020-01-03,18.49,09:25,daily_open_indicative,18337.8911476,18513.8601698,0.0,0.0,-175.96902219999902,-0.9573940272034767
385,2020-01-06,17.9,386,2020-01-07,17.92,09:25,daily_open_indicative,17858.860257999997,17943.2787584,0.0,0.0,-84.41850040000281,-0.471611734078228
387,2020-01-08,17.52,388,2020-01-09,17.65,09:25,daily_open_indicative,17479.6274704,17673.003352999996,0.0,0.0,-193.37588259999757,-1.1037436221461048
389,2020-01-10,18.03,390,2020-01-13,18.02,09:25,daily_open_indicative,17988.5977906,18043.380760399996,0.0,0.0,-54.782969799995044,-0.30384342651134244
391,2020-01-14,18.39,392,2020-01-15,18.35,09:25,daily_open_indicative,18347.8709578,18373.717366999997,0.0,0.0,-25.846409199995833,-0.14054599891242975
393,2020-01-16,18.41,394,2020-01-17,18.41,09:25,daily_open_indicative,18367.8305782,18433.778568199996,0.0,0.0,-65.94798999999693,-0.35821830526885895
395,2020-01-20,19.34,396,2020-01-21,19.2,09:25,daily_open_indicative,19295.9529268,19224.584383999998,0.0,0.0,71.36854280000261,0.36902038676319865
397,2020-01-22,20.85,398,2020-01-23,20.5,09:25,daily_open_indicative,20802.904267,20525.910409999997,0.0,0.0,276.99385700000494,1.3285077074340765
400,2020-02-04,18.02,401,2020-02-05,18.16,09:25,daily_open_indicative,17978.6179804,18183.523563199997,0.0,0.0,-204.90558279999823,-1.1371009034406117
402,2020-02-06,18.92,403,2020-02-07,19.9,09:25,daily_open_indicative,18876.8008984,19925.298398,0.0,0.0,-1048.4974995999983,-5.541741541226206
404,2020-02-10,18.91,405,2020-02-11,18.81,09:25,daily_open_indicative,18866.8210882,18834.186576199998,0.0,0.0,32.63451200000054,0.1725780645161319
406,2020-02-12,19.15,407,2020-02-13,19.11,09:25,daily_open_indicative,19106.336532999998,19134.492582199997,0.0,0.0,-28.15604919999896,-0.14702897754568647
408,2020-02-14,18.35,409,2020-02-17,18.44,09:25,daily_open_indicative,18307.951717,18463.8091688,0.0,0.0,-155.85745179999867,-0.8493594103542161
410,2020-02-18,18.85,411,2020-02-19,18.65,09:25,daily_open_indicative,18806.942227000003,18674.023372999996,0.0,0.0,132.91885400000683,0.7051398090186038
412,2020-02-20,18.81,413,2020-02-21,18.67,09:25,daily_open_indicative,18767.022986199998,18694.043773399997,0.0,0.0,72.97921280000082,0.38798092929293365
414,2020-02-24,20.14,415,2020-02-25,19.65,09:25,daily_open_indicative,20094.337742800002,19675.043392999996,0.0,0.0,419.2943498000059,2.0818984597815584
416,2020-02-26,18.71,417,2020-02-27,18.64,09:25,daily_open_indicative,18667.2248842,18664.013172799998,0.0,0.0,3.2117114000029687,0.01716574772850331
418,2020-02-28,17.08,419,2020-03-02,17.3,09:25,daily_open_indicative,17040.515821599998,17322.646345999998,0.0,0.0,-282.13052439999956,-1.6518180585480067
420,2020-03-03,17.44,421,2020-03-04,17.23,09:25,daily_open_indicative,17399.788988800003,17252.5749446,0.0,0.0,147.2140442000018,0.8441172259174415
422,2020-03-05,17.16,423,2020-03-06,16.83,09:25,daily_open_indicative,17120.3543032,16852.1669366,0.0,0.0,268.18736660000286,1.5628634417249585
424,2020-03-09,16.18,425,2020-03-10,15.98,09:25,daily_open_indicative,16142.3329036,16001.299919599998,0.0,0.0,141.0329840000013,0.871650086526584
426,2020-03-11,16.54,427,2020-03-12,16.25,09:25,daily_open_indicative,16501.6060708,16271.575324999998,0.0,0.0,230.03074580000248,1.3907542067714782
428,2020-03-13,15.65,429,2020-03-16,15.68,09:25,daily_open_indicative,15613.402963,15700.9939136,0.0,0.0,-87.5909505999989,-0.5596865853035073
430,2020-03-17,13.91,431,2020-03-18,14.05,09:25,daily_open_indicative,13876.9159882,14069.331280999999,0.0,0.0,-192.4152927999985,-1.3832875111430518
432,2020-03-19,13.51,433,2020-03-20,13.68,09:25,daily_open_indicative,13477.7235802,13698.953873599998,0.0,0.0,-221.23029339999812,-1.6375299289415108
434,2020-03-23,12.52,435,2020-03-24,12.75,09:25,daily_open_indicative,12489.722370399999,12768.005254999998,0.0,0.0,-278.2828845999993,-2.2227067460063843
436,2020-03-25,13.55,437,2020-03-26,13.41,09:25,daily_open_indicative,13517.642821000001,13428.678468199998,0.0,0.0,88.96435280000333,0.6565634892989175
438,2020-03-27,13.07,439,2020-03-30,12.84,09:25,daily_open_indicative,13038.6119314,12858.097056799998,0.0,0.0,180.51487460000317,1.381139055853123
440,2020-03-31,13.21,441,2020-04-01,13.13,09:25,daily_open_indicative,13178.329274200001,13148.3928626,0.0,0.0,29.93641160000152,0.22661931566995852
442,2020-04-02,13.98,443,2020-04-03,13.9,09:25,daily_open_indicative,13946.7746596,13919.178277999998,0.0,0.0,27.596381600002132,0.19739901001432142
444,2020-04-07,14.15,445,2020-04-08,14.05,09:25,daily_open_indicative,14116.431433,14069.331280999999,0.0,0.0,47.10015200000089,0.3328632650176741
446,2020-04-09,13.95,447,2020-04-10,13.94,09:25,daily_open_indicative,13916.835228999998,13959.219078799999,0.0,0.0,-42.38384980000046,-0.30382688028674165
448,2020-04-13,13.15,449,2020-04-14,13.28,09:25,daily_open_indicative,13118.450413,13298.5458656,0.0,0.0,-180.09545259999868,-1.3695471680608264
450,2020-04-15,13.87,451,2020-04-16,13.75,09:25,daily_open_indicative,13836.996747399999,13769.025274999998,0.0,0.0,67.9714724000005,0.490061084354726
452,2020-04-17,13.99,453,2020-04-20,14.06,09:25,daily_open_indicative,13956.7544698,14079.341481199997,0.0,0.0,-122.58701139999721,-0.8762474010006949
454,2020-04-21,14.16,455,2020-04-22,14.06,09:25,daily_open_indicative,14126.4112432,14079.341481199997,0.0,0.0,47.06976200000281,0.33241357344634753
456,2020-04-23,13.96,457,2020-04-24,13.96,09:25,daily_open_indicative,13926.8150392,13979.2394792,0.0,0.0,-52.42443999999887,-0.37553323782234144
458,2020-04-27,13.95,459,2020-04-28,14.01,09:25,daily_open_indicative,13916.835228999998,14029.290480199998,0.0,0.0,-112.45525119999911,-0.8061308329749041
460,2020-04-29,14.24,461,2020-04-30,14.31,09:25,daily_open_indicative,14206.2497248,14329.596486199998,0.0,0.0,-123.34676139999829,-0.8661991671348194
462,2020-05-06,14.76,463,2020-05-07,14.75,09:25,daily_open_indicative,14725.1998552,14770.045294999998,0.0,0.0,-44.84543979999762,-0.3038308929539134
464,2020-05-08,14.44,465,2020-05-11,14.5,09:25,daily_open_indicative,14405.8459288,14519.790289999999,0.0,0.0,-113.94436119999955,-0.7890883739612157
466,2020-05-12,14.23,467,2020-05-13,14.1,09:25,daily_open_indicative,14196.2699146,14119.382281999999,0.0,0.0,76.88763260000087,0.5403206788475113
468,2020-05-14,13.69,469,2020-05-15,13.74,09:25,daily_open_indicative,13657.3601638,13759.015074799998,0.0,0.0,-101.65491099999781,-0.7425486559532346
470,2020-05-18,13.49,471,2020-05-19,13.54,09:25,daily_open_indicative,13457.7639598,13558.811070799999,0.0,0.0,-101.04711099999804,-0.7490519718309714
472,2020-05-20,13.85,473,2020-05-21,13.88,09:25,daily_open_indicative,13817.037127,13899.157877599999,0.0,0.0,-82.12075059999916,-0.5929296072202105
474,2020-05-22,13.26,475,2020-05-25,13.25,09:25,daily_open_indicative,13228.2283252,13268.515264999998,0.0,0.0,-40.286939799998436,-0.3038230754147695
476,2020-05-26,13.5,477,2020-05-27,13.56,09:25,daily_open_indicative,13467.74377,13578.831471199997,0.0,0.0,-111.08770119999826,-0.8228718607407279
478,2020-05-28,13.46,479,2020-05-29,13.4,09:25,daily_open_indicative,13427.824529200001,13418.668267999998,0.0,0.0,9.156261200003428,0.06802571471027807
480,2020-06-01,13.88,481,2020-06-02,13.9,09:25,daily_open_indicative,13846.9765576,13919.178277999998,0.0,0.0,-72.2017203999967,-0.5201853054754806
482,2020-06-03,14.22,483,2020-06-04,14.25,09:25,daily_open_indicative,14186.290104400001,14269.535284999998,0.0,0.0,-83.24518059999718,-0.5854091462728354
484,2020-06-05,14.08,485,2020-06-08,14.25,09:25,daily_open_indicative,14046.5727616,14269.535284999998,0.0,0.0,-222.96252339999774,-1.583540649147711
486,2020-06-09,14.55,487,2020-06-10,14.56,09:25,daily_open_indicative,14515.623841,14579.851491199997,0.0,0.0,-64.22765019999679,-0.4414271491408714
488,2020-06-11,14.02,489,2020-06-12,13.7,09:25,daily_open_indicative,13986.6939004,13718.974273999998,0.0,0.0,267.7196264000013,1.9095551098430905
490,2020-06-15,13.67,491,2020-06-16,13.74,09:25,daily_open_indicative,13637.4005434,13759.015074799998,0.0,0.0,-121.61453139999867,-0.8896454381857986
492,2020-06-17,14.25,493,2020-06-18,14.25,09:25,daily_open_indicative,14216.229535,14269.535284999998,0.0,0.0,-53.305749999997715,-0.3740754385964752
494,2020-06-19,14.35,495,2020-06-22,14.36,09:25,daily_open_indicative,14316.027637,14379.647487199998,0.0,0.0,-63.61985019999884,-0.4433439038327445
496,2020-06-23,14.11,497,2020-06-24,14.15,09:25,daily_open_indicative,14076.5121922,14169.433282999998,0.0,0.0,-92.92109079999864,-0.6585477732104793
498,2020-06-29,15.22,499,2020-06-30,15.19,09:25,daily_open_indicative,15184.2711244,15210.494103799998,0.0,200.0,-226.2229793999977,-1.486353346911943
500,2020-07-01,15.42,501,2020-07-02,15.34,09:25,daily_open_indicative,15383.8673284,15360.6471068,0.0,0.0,23.220221600000514,0.1505850946822342
502,2020-07-03,15.91,503,2020-07-06,16.21,09:25,daily_open_indicative,15872.8780282,16231.534524199997,0.0,0.0,-358.65649599999597,-2.2542834443745816
504,2020-07-07,16.38,505,2020-07-08,16.3,09:25,daily_open_indicative,16341.929107599999,16321.626325999998,0.0,0.0,20.302781600001254,0.12394860561661328
506,2020-07-09,16.72,507,2020-07-10,16.68,09:25,daily_open_indicative,16681.242654399997,16702.013933599996,0.0,0.0,-20.77127919999839,-0.12423013875597123
508,2020-07-13,16.5,509,2020-07-14,16.53,09:25,daily_open_indicative,16461.68683,16551.8609306,0.0,0.0,-90.17410060000111,-0.5465097006060673
510,2020-07-15,16.2,511,2020-07-16,16.13,09:25,daily_open_indicative,16162.292523999999,16151.452922599996,0.0,0.0,10.83960140000272,0.06691111975310321
512,2020-07-17,14.79,513,2020-07-20,14.88,09:25,daily_open_indicative,14755.1392858,14900.177897599999,0.0,0.0,-145.03861179999876,-0.9806532237998564
514,2020-07-21,15.43,515,2020-07-22,15.44,09:25,daily_open_indicative,15393.8471386,15460.749108799999,0.0,0.0,-66.90197019999869,-0.4335837342838541
516,2020-07-23,14.98,517,2020-07-24,14.92,09:25,daily_open_indicative,14944.7556796,14940.218698399998,0.0,0.0,4.536981200002629,0.030286923898548923
518,2020-07-27,14.01,519,2020-07-28,14.15,09:25,daily_open_indicative,13976.7140902,14169.433282999998,0.0,0.0,-192.7191927999993,-1.3755831034974968
520,2020-07-29,14.51,521,2020-07-30,14.51,09:25,daily_open_indicative,14475.7046002,14529.800490199998,0.0,0.0,-54.09588999999687,-0.37281798759474066
522,2020-07-31,14.59,523,2020-08-03,14.68,09:25,daily_open_indicative,14555.5430818,14699.973893599998,0.0,0.0,-144.43081179999717,-0.9899301699794186
524,2020-08-04,14.68,525,2020-08-05,14.83,09:25,daily_open_indicative,14645.361373599999,14850.126896599999,0.0,0.0,-204.76552300000003,-1.3948605108991827
526,2020-08-06,14.5,527,2020-08-07,14.48,09:25,daily_open_indicative,14465.72479,14499.769889599998,0.0,0.0,-34.04509959999814,-0.23479379034481476
528,2020-08-10,14.41,529,2020-08-11,14.4,09:25,daily_open_indicative,14375.9064982,14419.688287999998,0.0,0.0,-43.78178979999757,-0.3038292144344037
530,2020-08-12,15.14,531,2020-08-13,15.27,09:25,daily_open_indicative,15104.4326428,15290.575705399999,0.0,0.0,-186.1430625999983,-1.2294786169088394
532,2020-08-14,15.03,533,2020-08-17,15.09,09:25,daily_open_indicative,14994.6547306,15110.392101799998,0.0,0.0,-115.73737119999896,-0.770042389886886
534,2020-08-18,15.18,535,2020-08-19,15.18,09:25,daily_open_indicative,15144.3518836,15200.483903599998,0.0,0.0,-56.13201999999728,-0.3697761528326567
536,2020-08-20,14.83,537,2020-08-21,15.0,09:25,daily_open_indicative,14795.0585266,15020.300299999999,0.0,0.0,-225.24177339999915,-1.5188251746459822
538,2020-08-24,14.99,539,2020-08-25,15.04,09:25,daily_open_indicative,14954.7354898,15060.341100799998,0.0,0.0,-105.60561099999904,-0.7045070780520283
