entry_i,entry,sell_ref,exit_i,exit,buy_ref,buy_clock,kind,sale_net,buy_cost,dividend_tax,missed_dividend,cash_increment,net_pct
383,2020-01-02,18.38,384,2020-01-03,18.49,09:25,daily_open_indicative,18334.21889712,18517.558243760002,0.0,0.0,-183.33934664000117,-0.9974937249183959
389,2020-01-10,18.03,390,2020-01-13,18.02,09:25,daily_open_indicative,17984.99546872,18046.984832480004,0.0,0.0,-61.98936376000347,-0.3438123336661313
391,2020-01-14,18.39,392,2020-01-15,18.35,09:25,daily_open_indicative,18344.19670936,18377.3874404,0.0,0.0,-33.19073104000199,-0.18048249613921694
393,2020-01-16,18.41,394,2020-01-17,18.41,09:25,daily_open_indicative,18364.15233384,18437.46064184,0.0,0.0,-73.30830799999967,-0.39819830526887384
395,2020-01-20,19.34,396,2020-01-21,19.2,09:25,daily_open_indicative,19292.088872160002,19228.4244608,0.0,0.0,63.664411360001395,0.32918516732162045
398,2020-01-23,20.0,399,2020-02-03,18.0,09:25,daily_open_indicative,19950.62448,18026.960432000003,0.0,0.0,1923.664047999995,9.618320239999974
405,2020-02-11,19.23,406,2020-02-12,19.08,09:25,daily_open_indicative,19182.332937519997,19108.27805792,0.0,0.0,74.05487959999664,0.3851007779511006
410,2020-02-18,18.85,411,2020-02-19,18.65,09:25,daily_open_indicative,18803.1760724,18677.7534476,0.0,0.0,125.42262480000136,0.6653720148541186
414,2020-02-24,20.14,415,2020-02-25,19.65,09:25,daily_open_indicative,20090.313851360002,19678.973471600002,0.0,0.0,411.34037976000036,2.0424050633565063
418,2020-02-28,17.08,419,2020-03-02,17.3,09:25,daily_open_indicative,17037.10330592,17326.106415200004,0.0,0.0,-289.0031092800018,-1.6920556749414626
426,2020-03-11,16.54,427,2020-03-12,16.25,09:25,daily_open_indicative,16498.30144496,16274.825390000002,0.0,0.0,223.4760549599996,1.3511248788391754
436,2020-03-25,13.55,437,2020-03-26,13.41,09:25,daily_open_indicative,13514.935585199999,13431.36052184,0.0,0.0,83.57506335999824,0.616790135498142
443,2020-04-03,13.96,444,2020-04-07,14.35,09:25,daily_open_indicative,13924.02588704,14372.5073444,0.0,0.0,-448.4814573600015,-3.2126178893982917
450,2020-04-15,13.87,451,2020-04-16,13.75,09:25,daily_open_indicative,13834.22557688,13771.775330000002,0.0,0.0,62.4502468799983,0.4502541231434629
452,2020-04-17,13.99,453,2020-04-20,14.06,09:25,daily_open_indicative,13953.95932376,14082.153537440001,0.0,0.0,-128.19421368000076,-0.9163274744817781
454,2020-04-21,14.16,455,2020-04-22,14.06,09:25,daily_open_indicative,14123.58213184,14082.153537440001,0.0,0.0,41.428594399998474,0.2925748192090288
456,2020-04-23,13.96,457,2020-04-24,13.96,09:25,daily_open_indicative,13924.02588704,13982.03153504,0.0,0.0,-58.00564800000029,-0.41551323782235167
460,2020-04-29,14.24,461,2020-04-30,14.31,09:25,daily_open_indicative,14203.40462976,14332.45854344,0.0,0.0,-129.05391367999982,-0.9062774837078639
462,2020-05-06,14.76,463,2020-05-07,14.75,09:25,daily_open_indicative,14722.25086624,14772.995354,0.0,0.0,-50.74448776000099,-0.3437973425474322
472,2020-05-20,13.85,473,2020-05-21,13.88,09:25,daily_open_indicative,13814.269952400002,13901.93393312,0.0,0.0,-87.66398071999902,-0.6329529293862745
477,2020-05-27,13.48,478,2020-05-28,13.5,09:25,daily_open_indicative,13445.09089952,13521.470324,0.0,0.0,-76.37942447999922,-0.566612941246285
480,2020-06-01,13.88,481,2020-06-02,13.9,09:25,daily_open_indicative,13844.20338912,13921.958333600001,0.0,0.0,-77.75494448000063,-0.5601941244956817
492,2020-06-17,14.25,493,2020-06-18,14.25,09:25,daily_open_indicative,14213.382442,14272.385342000001,0.0,0.0,-59.00290000000132,-0.41405543859650046
494,2020-06-19,14.35,495,2020-06-22,14.36,09:25,daily_open_indicative,14313.160564400001,14382.519544640001,0.0,0.0,-69.35898024000016,-0.4833378413937294
498,2020-06-29,15.22,499,2020-06-30,15.19,09:25,daily_open_indicative,15181.230229280001,15213.532164560002,0.0,200.0,-232.30193528000018,-1.5262939243101195
501,2020-07-02,15.61,502,2020-07-03,15.65,09:25,daily_open_indicative,15570.36490664,15674.093375600001,0.0,0.0,-103.72846896000192,-0.6645001214606144
506,2020-07-09,16.72,507,2020-07-10,16.68,09:25,daily_open_indicative,16677.902065280003,16705.350000320002,0.0,0.0,-27.44793503999972,-0.16416229090908924
509,2020-07-14,16.59,510,2020-07-15,16.83,09:25,daily_open_indicative,16548.19050616,16855.53300392,0.0,0.0,-307.3424977600007,-1.8525768400241152
514,2020-07-21,15.43,515,2020-07-22,15.44,09:25,daily_open_indicative,15390.76428632,15463.837170560002,0.0,0.0,-73.07288424000217,-0.47357669630591165
521,2020-07-30,14.29,522,2020-07-31,14.28,09:25,daily_open_indicative,14253.293690960001,14302.42194272,0.0,0.0,-49.12825175999933,-0.34379462393281546
531,2020-08-13,15.17,532,2020-08-14,15.01,09:25,daily_open_indicative,15131.34116808,15033.312560240001,0.0,0.0,98.02860783999859,0.6462004471984086
534,2020-08-18,15.18,535,2020-08-19,15.18,09:25,daily_open_indicative,15141.31898032,15203.519964320003,0.0,0.0,-62.20098400000279,-0.40975615283269295
542,2020-08-28,14.75,543,2020-08-31,14.84,09:25,daily_open_indicative,14712.273054000001,14863.105156160002,0.0,0.0,-150.83210216000043,-1.022590523118647
545,2020-09-02,14.77,546,2020-09-03,14.84,09:25,daily_open_indicative,14732.22867848,14863.105156160002,0.0,0.0,-130.8764776800017,-0.8860966667569512
550,2020-09-09,13.91,551,2020-09-10,14.0,09:25,daily_open_indicative,13874.136825840002,14022.080336,0.0,0.0,-147.94351015999928,-1.0635766366642652
553,2020-09-14,13.85,554,2020-09-15,13.83,09:25,daily_open_indicative,13814.269952400002,13851.872931920001,0.0,0.0,-37.60297951999928,-0.27150165718411035
558,2020-09-21,13.74,559,2020-09-22,13.65,09:25,daily_open_indicative,13704.51401776,13671.653327600001,0.0,0.0,32.86069015999965,0.23916077263464083
568,2020-10-13,13.93,569,2020-10-14,13.8,09:25,daily_open_indicative,13894.09245032,13821.836331200002,0.0,0.0,72.2561191199984,0.5187086799712736
574,2020-10-21,13.64,575,2020-10-22,13.58,09:25,daily_open_indicative,13604.73589536,13601.567925920002,0.0,0.0,3.1679694399972504,0.023225582404671923
576,2020-10-23,13.59,577,2020-10-26,13.57,09:25,daily_open_indicative,13554.84683416,13591.555725680002,0.0,0.0,-36.708891520002,-0.27011693539368653
579,2020-10-28,13.94,580,2020-10-29,13.76,09:25,daily_open_indicative,13904.07026256,13781.78753024,0.0,0.0,122.28273231999992,0.8772075489239592
584,2020-11-04,13.47,585,2020-11-05,13.68,09:25,daily_open_indicative,13435.11308728,13701.689928320002,0.0,0.0,-266.57684104000145,-1.979041136154428
586,2020-11-06,14.0,587,2020-11-09,14.27,09:25,daily_open_indicative,13963.937136,14292.409742480002,0.0,0.0,-328.47260648000156,-2.3462329034285827
592,2020-11-16,14.28,593,2020-11-17,14.26,09:25,daily_open_indicative,14243.31587872,14282.397542240002,0.0,0.0,-39.08166352000262,-0.2736811170868531
604,2020-12-02,14.05,605,2020-12-03,14.0,09:25,daily_open_indicative,14013.8261972,14022.080336,0.0,0.0,-8.254138800000874,-0.05874831886121618
