entry_i,entry,sell_ref,exit_i,exit,buy_ref,buy_clock,kind,sale_net,buy_cost,dividend_tax,missed_dividend,cash_increment,net_pct
383,2020-01-02,18.38,384,2020-01-03,18.49,09:25,daily_open_indicative,18343.399523319997,18508.31305886,0.0,0.0,-164.91353554000307,-0.8972444806311375
389,2020-01-10,18.03,390,2020-01-13,18.02,09:25,daily_open_indicative,17994.00127342,18037.974652279998,0.0,0.0,-43.973378859998775,-0.24389006577925
391,2020-01-14,18.39,392,2020-01-15,18.35,09:25,daily_open_indicative,18353.38233046,18368.2122569,0.0,0.0,-14.829926439997507,-0.08064125307230836
393,2020-01-16,18.41,394,2020-01-17,18.41,09:25,daily_open_indicative,18373.347944740002,18428.25545774,0.0,0.0,-54.90751299999829,-0.2982483052688663
395,2020-01-20,19.34,396,2020-01-21,19.2,09:25,daily_open_indicative,19301.749008759998,19218.8242688,0.0,0.0,82.92473995999899,0.4287732159255377
396,2020-01-21,19.09,397,2020-01-22,18.9,09:25,daily_open_indicative,19052.17883026,18918.6082646,0.0,0.0,133.57056566000028,0.6996886624410701
398,2020-01-23,20.0,399,2020-02-03,18.0,09:25,daily_open_indicative,19960.61428,18017.960251999997,0.0,0.0,1942.6540280000045,9.713270140000022
405,2020-02-11,19.23,406,2020-02-12,19.08,09:25,daily_open_indicative,19191.93813022,19098.73786712,0.0,0.0,93.20026310000321,0.4846607545501987
410,2020-02-18,18.85,411,2020-02-19,18.65,09:25,daily_open_indicative,18812.5914589,18668.4282611,0.0,0.0,144.16319779999685,0.7647915002652352
414,2020-02-24,20.14,415,2020-02-25,19.65,09:25,daily_open_indicative,20100.37357996,19669.148275099997,0.0,0.0,431.22530486000323,2.1411385544190824
418,2020-02-28,17.08,419,2020-03-02,17.3,09:25,daily_open_indicative,17045.63459512,17317.456242199998,0.0,0.0,-271.8216470799998,-1.5914616339578445
426,2020-03-11,16.54,427,2020-03-12,16.25,09:25,daily_open_indicative,16506.56300956,16266.700227499998,0.0,0.0,239.86278206000134,1.4501981986698993
436,2020-03-25,13.55,437,2020-03-26,13.41,09:25,daily_open_indicative,13521.7036747,13424.655387739998,0.0,0.0,97.04828696000186,0.7162235200000138
