entry_i,entry,sell_ref,exit_i,exit,buy_ref,buy_clock,kind,sale_net,buy_cost,dividend_tax,missed_dividend,cash_increment,net_pct
383,2020-01-02,18.38,384,2020-01-03,18.47,09:40,post0935_window_indicative_unknown,18347.071773800002,18484.604584700002,0.0,0.0,-137.5328109000002,-0.7482742704026125
389,2020-01-10,18.03,390,2020-01-13,17.85,09:40,post0935_window_indicative_unknown,17997.6035953,17864.282178499998,0.0,0.0,133.32141680000132,0.7394421342207506
391,2020-01-14,18.39,392,2020-01-15,18.51,09:40,post0935_window_indicative_unknown,18357.0565789,18524.625385099996,0.0,0.0,-167.5688061999972,-0.9111952485046069
393,2020-01-16,18.41,394,2020-01-17,18.4,09:40,post0935_window_indicative_unknown,18377.0261891,18414.568184,0.0,0.0,-37.541994899998826,-0.20392175393807077
395,2020-01-20,19.34,396,2020-01-21,19.26,09:40,post0935_window_indicative_unknown,19305.6130634,19275.0153926,0.0,0.0,30.59767080000165,0.15820925956567555
396,2020-01-21,19.09,397,2020-01-22,18.93,09:40,post0935_window_indicative_unknown,19055.9929359,18944.8437893,0.0,0.0,111.14914660000068,0.5822375411210093
398,2020-01-23,20.0,399,2020-02-03,18.0,09:40,post0935_window_indicative_unknown,19964.6102,18014.36018,0.0,0.0,1950.2500199999995,9.751250099999998
405,2020-02-11,19.23,406,2020-02-12,18.92,09:40,post0935_window_indicative_unknown,19195.780207300002,18934.8385892,0.0,0.0,260.9416181000015,1.3569506921476937
410,2020-02-18,18.85,411,2020-02-19,18.62,09:40,post0935_window_indicative_unknown,18816.3576135,18634.682586199997,0.0,0.0,181.67502730000342,0.9637932482758802
414,2020-02-24,20.14,415,2020-02-25,19.96,09:40,post0935_window_indicative_unknown,20104.3974714,19975.3793996,0.0,0.0,129.01807180000105,0.6406061161866984
418,2020-02-28,17.08,419,2020-03-02,17.17,09:40,post0935_window_indicative_unknown,17049.0471108,17183.9285717,0.0,0.0,-134.8814609000001,-0.7897041036299771
426,2020-03-11,16.54,427,2020-03-12,16.31,09:40,post0935_window_indicative_unknown,16509.867635399998,16323.481363099998,0.0,0.0,186.3862723000002,1.1268819365175344
436,2020-03-25,13.55,437,2020-03-26,13.35,09:40,post0935_window_indicative_unknown,13524.4109105,13361.942133499999,0.0,0.0,162.46877700000186,1.1990315645756595
437,2020-03-26,13.29,438,2020-03-27,13.45,09:40,post0935_window_indicative_unknown,13264.805977900001,13461.994134499999,0.0,0.0,-197.18815659999746,-1.4837333077501689
443,2020-04-03,13.96,444,2020-04-07,14.15,09:40,post0935_window_indicative_unknown,13933.787919600001,14162.358141499999,0.0,0.0,-228.5702218999977,-1.637322506446975
450,2020-04-15,13.87,451,2020-04-16,13.62,09:40,post0935_window_indicative_unknown,13843.924673700001,13632.0825362,0.0,0.0,211.84213750000163,1.527340573179536
452,2020-04-17,13.99,453,2020-04-20,14.08,09:40,post0935_window_indicative_unknown,13963.742334900002,14092.321740799998,0.0,0.0,-128.57940589999635,-0.9190808141529403
454,2020-04-21,14.16,455,2020-04-22,14.0,09:40,post0935_window_indicative_unknown,14133.4840216,14012.28014,0.0,0.0,121.20388159999857,0.8559596158191989
456,2020-04-23,13.96,457,2020-04-24,14.02,09:40,post0935_window_indicative_unknown,13933.787919600001,14032.290540199998,0.0,0.0,-98.50262059999659,-0.7056061647564226
460,2020-04-29,14.24,461,2020-04-30,14.45,09:40,post0935_window_indicative_unknown,14213.3624624,14462.514144499999,0.0,0.0,-249.15168209999865,-1.749660688904485
462,2020-05-06,14.76,463,2020-05-07,14.65,09:40,post0935_window_indicative_unknown,14732.5723276,14662.618146499999,0.0,0.0,69.95418110000173,0.4739443163956757
463,2020-05-07,14.38,464,2020-05-08,14.55,09:40,post0935_window_indicative_unknown,14353.1497338,14562.566145499999,0.0,0.0,-209.4164116999982,-1.4563032802503353
472,2020-05-20,13.85,473,2020-05-21,13.9,09:40,post0935_window_indicative_unknown,13823.955063500001,13912.228138999999,0.0,0.0,-88.2730754999975,-0.6373507256317509
477,2020-05-27,13.48,478,2020-05-28,13.51,09:40,post0935_window_indicative_unknown,13454.5172748,13522.0253351,0.0,0.0,-67.50806029999876,-0.5008016342729879
480,2020-06-01,13.88,481,2020-06-02,14.04,09:40,post0935_window_indicative_unknown,13853.909478800002,14052.300940399999,0.0,0.0,-198.39146159999655,-1.4293332968299464
481,2020-06-02,14.16,482,2020-06-03,14.06,09:40,post0935_window_indicative_unknown,14133.4840216,14072.3113406,0.0,0.0,61.17268100000001,0.4320104590395481
492,2020-06-17,14.25,493,2020-06-18,14.12,09:40,post0935_window_indicative_unknown,14223.3472675,14132.3425412,0.0,0.0,91.00472629999967,0.6386296582456118
494,2020-06-19,14.35,495,2020-06-22,14.48,09:40,post0935_window_indicative_unknown,14323.1953185,14492.5297448,0.0,0.0,-169.3344262999999,-1.1800308452961665
498,2020-06-29,15.22,499,2020-06-30,15.11,09:40,post0935_window_indicative_unknown,15191.873362200002,15122.857351099998,0.0,200.0,-130.9839888999959,-0.8606043948751373
501,2020-07-02,15.61,502,2020-07-03,15.81,09:40,post0935_window_indicative_unknown,15541.2807611,15823.2213581,40.0,0.0,-281.9405969999989,-1.806153728379237
502,2020-07-03,15.91,503,2020-07-06,16.25,09:40,post0935_window_indicative_unknown,15840.8249141,16263.4501625,40.0,0.0,-422.6252483999997,-2.6563497699560004
506,2020-07-09,16.72,507,2020-07-10,16.46,09:40,post0935_window_indicative_unknown,16689.5941272,16473.559364599998,0.0,0.0,216.03476260000025,1.2920739389952167
509,2020-07-14,16.59,510,2020-07-15,16.84,09:40,post0935_window_indicative_unknown,16559.791660900002,16853.756968399997,0.0,0.0,-293.9653074999951,-1.7719427817962332
514,2020-07-21,15.43,515,2020-07-22,15.28,09:40,post0935_window_indicative_unknown,15401.554269300002,15292.9457528,0.0,0.0,108.60851650000222,0.7038789144523799
515,2020-07-22,15.36,516,2020-07-23,15.11,09:40,post0935_window_indicative_unknown,15331.660633600002,15122.857351099998,0.0,0.0,208.80328250000457,1.359396370442738
521,2020-07-30,14.29,522,2020-07-31,14.58,09:40,post0935_window_indicative_unknown,14263.2864879,14592.581745799998,0.0,0.0,-329.2952578999975,-2.304375492652187
531,2020-08-13,15.17,532,2020-08-14,15.01,09:40,post0935_window_indicative_unknown,15141.949336700001,15022.8053501,0.0,0.0,119.14398660000188,0.7853921331575602
534,2020-08-18,15.18,535,2020-08-19,15.04,09:40,post0935_window_indicative_unknown,15151.934141800002,15052.820950399999,0.0,0.0,99.11319140000342,0.6529195744400752
542,2020-08-28,14.75,543,2020-08-31,14.87,09:40,post0935_window_indicative_unknown,14722.5875225,14882.7325487,0.0,0.0,-160.14502619999985,-1.0857289911864396
543,2020-08-31,14.74,544,2020-09-01,14.73,09:40,post0935_window_indicative_unknown,14712.602717400001,14742.6597473,0.0,0.0,-30.05702989999918,-0.20391472116688725
545,2020-09-02,14.77,546,2020-09-03,14.73,09:40,post0935_window_indicative_unknown,14742.557132700002,14742.6597473,0.0,0.0,-0.10261459999856015,-0.0006947501692522692
550,2020-09-09,13.91,551,2020-09-10,13.98,09:40,post0935_window_indicative_unknown,13883.8638941,13992.2697398,0.0,0.0,-108.40584569999919,-0.7793374960460042
553,2020-09-14,13.85,554,2020-09-15,13.74,09:40,post0935_window_indicative_unknown,13823.955063500001,13752.144937399999,0.0,0.0,71.81012610000289,0.5184846649819703
554,2020-09-15,13.73,555,2020-09-16,13.59,09:40,post0935_window_indicative_unknown,13704.1374023,13602.0669359,0.0,0.0,102.07046640000044,0.7434119912600178
558,2020-09-21,13.74,559,2020-09-22,13.65,09:40,post0935_window_indicative_unknown,13714.122207400002,13662.098136499999,0.0,0.0,52.0240709000027,0.37863224818051455
568,2020-10-13,13.93,569,2020-10-14,13.7,09:40,post0935_window_indicative_unknown,13903.833504300002,13712.124136999999,0.0,0.0,191.70936730000358,1.3762337925341248
574,2020-10-21,13.64,575,2020-10-22,13.57,09:40,post0935_window_indicative_unknown,13614.2741564,13582.0565357,0.0,0.0,32.217620700001135,0.23619956524927518
576,2020-10-23,13.59,577,2020-10-26,13.52,09:40,post0935_window_indicative_unknown,13564.3501309,13532.030535199998,0.0,0.0,32.31959570000254,0.2378189529065676
579,2020-10-28,13.94,580,2020-10-29,13.78,09:40,post0935_window_indicative_unknown,13913.818309400001,13792.1657378,0.0,0.0,121.65257160000147,0.8726870272596948
584,2020-11-04,13.47,585,2020-11-05,13.7,09:40,post0935_window_indicative_unknown,13444.532469700001,13712.124136999999,0.0,0.0,-267.5916672999974,-1.9865751098737745
586,2020-11-06,14.0,587,2020-11-09,14.32,09:40,post0935_window_indicative_unknown,13973.72714,14332.4465432,0.0,0.0,-358.71940319999885,-2.562281451428563
592,2020-11-16,14.28,593,2020-11-17,14.14,09:40,post0935_window_indicative_unknown,14253.3016828,14152.3529414,0.0,0.0,100.94874139999956,0.7069239593837504
604,2020-12-02,14.05,605,2020-12-03,13.93,09:40,post0935_window_indicative_unknown,14023.6511655,13942.243739299998,0.0,0.0,81.40742620000128,0.5794122861210056
609,2020-12-09,13.82,610,2020-12-10,13.63,09:40,post0935_window_indicative_unknown,13794.0006482,13642.087736299998,0.0,0.0,151.91291190000265,1.0992251222865606
613,2020-12-15,13.56,614,2020-12-16,13.7,09:40,post0935_window_indicative_unknown,13534.395715600001,13712.124136999999,0.0,0.0,-177.7284213999974,-1.3106815737462933
616,2020-12-18,13.65,617,2020-12-21,13.57,09:40,post0935_window_indicative_unknown,13624.258961500002,13582.0565357,0.0,0.0,42.20242580000195,0.30917528058609484
620,2020-12-24,13.38,621,2020-12-25,13.31,09:40,post0935_window_indicative_unknown,13354.669223800001,13321.9213331,0.0,0.0,32.747890700002245,0.24475254633783441
622,2020-12-28,13.27,623,2020-12-29,13.32,09:40,post0935_window_indicative_unknown,13244.836367700002,13331.9265332,0.0,0.0,-87.09016549999797,-0.6562936360210849
625,2020-12-31,13.69,626,2021-01-04,13.62,09:40,post0935_window_indicative_unknown,13664.198181900001,13632.0825362,0.0,0.0,32.11564570000155,0.23459200657415305
628,2021-01-06,13.87,629,2021-01-07,13.8,09:40,post0935_window_indicative_unknown,13843.924673700001,13812.176137999999,0.0,0.0,31.74853570000232,0.22890076207644067
633,2021-01-13,15.18,634,2021-01-14,15.87,09:40,post0935_window_indicative_unknown,15151.934141800002,15883.2525587,0.0,0.0,-731.3184168999978,-4.817644380105388
