scenario,year,increment,sales,deposits
S0_open_5_all,2020,-5294.751560499622,242,4668.94974239962
S0_open_5_all,2021,-7613.018058099624,243,6865.707555399627
S0_open_5_all,2022,-6341.488767049756,242,4845.743923749749
S0_open_5_all,2023,-5927.479697049566,239,7001.120229149841
S0_open_5_all,2024,-3094.694271649387,242,1560.7631033994294
S0_open_5_all,2025,1451.7210544607951,241,8736.849832088057
S0_open_5_all,2026,-11260.39951573097,168,0.0
S0_open_5_1000,2020,-4652.618715599821,121,4454.121632899851
S0_open_5_1000,2021,-3269.3468892998208,122,3026.597732899798
S0_open_5_1000,2022,-3184.1051033498843,121,2656.494178349877
S0_open_5_1000,2023,-1764.479969249749,120,4831.567109199919
S0_open_5_1000,2024,-782.9008401497049,121,0.0
S0_open_5_1000,2025,932.0045556054538,121,1473.2977443111922
S0_open_5_1000,2026,-17096.01502228449,84,10811.756377042395
S0_open_10_all,2020,-8897.029720999577,242,8264.38988479957
S0_open_10_all,2021,-10697.120316199653,243,9950.693910799657
S0_open_10_all,2022,-8695.20663409977,242,7200.830347499751
S0_open_10_all,2023,-9939.191894099524,239,8526.742758299813
S0_open_10_all,2024,-8455.436843299365,242,6494.625830299083
S0_open_10_all,2025,-7599.397195079073,241,17757.46144667733
S0_open_10_all,2026,-21752.706295462674,168,8373.257111210427
S0_open_10_1000,2020,-6457.2558311997855,121,6257.255831199784
S0_open_10_1000,2021,-4811.996778599818,122,4532.930536999818
S0_open_10_1000,2022,-4360.462106699872,121,3866.0858200998755
S0_open_10_1000,2023,-3778.890038499776,120,5555.635618399923
S0_open_10_1000,2024,-3466.9031802996833,121,552.0785599995434
S0_open_10_1000,2025,-3601.2554547895634,121,8204.104844623656
S0_open_10_1000,2026,-22354.208898569355,84,17235.98493608526
S0_open_11_all,2020,-9617.485353100325,242,8983.477913280321
S0_open_11_all,2021,-11313.94076782027,243,10567.691181880267
S0_open_11_all,2022,-9165.950207510221,242,7671.847632250208
S0_open_11_all,2023,-10741.53433351036,239,9086.559216850354
S0_open_11_all,2024,-9527.585357630473,242,7789.881050610455
S0_open_11_all,2025,-9409.620844988756,241,18998.40914194633
S0_open_11_all,2026,-23851.16765141132,168,11035.70625593434
S0_open_11_1000,2020,-6818.183254320167,121,6618.183254320167
S0_open_11_1000,2021,-5120.52675646014,122,4840.26973070014
S0_open_11_1000,2022,-4595.733507370094,121,4101.630932110097
S0_open_11_1000,2023,-4181.772052350207,120,5700.449320240066
S0_open_11_1000,2024,-4003.703648330229,121,1339.783042960371
S0_open_11_1000,2025,-4507.907456869376,121,8872.977493726656
S0_open_11_1000,2026,-23405.84767382741,84,18520.830647895127
S0_open_12_all,2020,-10337.940985200235,242,9702.565941760235
S0_open_12_all,2021,-11930.761219440203,243,11184.688452960221
S0_open_12_all,2022,-9636.693780920177,242,8142.864917000168
S0_open_12_all,2023,-11543.87677292026,239,9888.307500200282
S0_open_12_all,2024,-10599.733871960314,242,8848.827976520324
S0_open_12_all,2025,-11219.844494896694,241,20233.73330681404
S0_open_12_all,2026,-25949.629007357522,168,13698.155400655349
S0_open_12_1000,2020,-7179.110677440112,121,6979.1106774401105
S0_open_12_1000,2021,-5429.05673432012,122,5147.608924400121
S0_open_12_1000,2022,-4831.004908040055,121,4337.176044120066
S0_open_12_1000,2023,-4584.654066200146,120,5845.263022080035
S0_open_12_1000,2024,-4540.50411636016,121,2133.4199923202796
