rule,path,selection,candidate,minimum_old_shares,stock,initialcash,slip_bp,sales,completed,pending,increment,completed_increment,mean_pct,fees,tax_paid,terminal_tax_reserve,terminal_receivable,terminal_missing,deposits,withdrawals,unreturned,peak_requirement,peak_date,peak_pct_1000_value,single_median,single_p95,single_max,single_max_date,single_positive,first_deposit,deposit_yuan_days,longest_relative_deficit_calendar_days,relative_mdd,flow_adjusted_absolute_profit,hold_flow_adjusted_absolute_profit,trade_n,trade_wins,trade_win,trade_cash,trade_mean,trade_worst,trade_mdd,trade_top3,trade_bottom3,trade_mean_pct,missing_windows,delayed,policy
S2_r3_ge_6,fixed_1450,discovery_cash,C00,3000,3000,0.0,5.0,191,191,0,7498.423681868968,7498.423681868868,-0.2657960625827334,6110.206318131997,1292.0,0.0,0,0,14991.97707244147,0.0,14991.97707244147,14991.97707244147,2025-10-29,18.554427069853304,0.0,2309.4283250624903,6936.87200885998,2025-10-29,95,2023-03-23,9191320.867041906,72,-27286.485271281636,155668.42368186894,148169.99999999994,191,96,50.26178010471204,7498.423681868868,39.25876273229774,-6936.87200885998,-27193.963025441648,15198.580358847044,-17416.885596580978,-0.2657960625827334,0,6,
S2_r3_ge_6,fixed_1450,discovery_cash,C00,3000,3000,0.0,11.0,191,191,0,-82.61887269091676,-82.6188726908913,-0.3857680991743278,6108.0048726904015,1292.0,0.0,0,0,19769.820978572825,0.0,19769.820978572825,19769.820978572825,2025-10-29,24.46760022100597,45.26862178000192,2361.783672337504,7029.718405092004,2025-10-29,97,2023-03-20,11820925.816219509,74,-30682.511644280814,148087.38112730905,148169.99999999997,191,94,49.21465968586388,-82.6188726908913,-0.43255954288424764,-7029.718405092004,-30541.54068743279,14925.538340663406,-17635.408993278223,-0.3857680991743278,0,6,
S2_r3_ge_6,fixed_1450,discovery_cash,C00,3000,3000,0.0,20.0,191,191,0,-11454.18270452792,-11454.18270452796,-0.5657261540616775,6104.702704527994,1292.0,0.0,0,0,26936.586837767994,0.0,26936.586837767994,26936.586837767994,2025-10-29,33.337359947732665,70.41103959999964,2440.3166932500008,7168.987999440011,2025-10-29,101,2023-03-20,15793582.523937775,74,-37679.37038632796,136715.81729547205,148169.99999999997,191,90,47.12041884816754,-11454.18270452796,-59.969542955643774,-7168.987999440011,-37465.726362968,14515.975313388015,-17963.194088324017,-0.5657261540616775,0,6,
S1_r3_le_m2__AND__S2_clv_le_0p2,fixed_0940,discovery_cash,C01,2000,3000,0.0,5.0,116,116,0,-10990.108056771656,-10925.108056771678,-0.2422937519512502,3143.888056772001,1282.0,65.0,0,0,2433.901775910719,0.0,2433.901775910719,2433.901775910723,2026-03-18,4.675185893028658,50.707286224998825,1420.9960938397435,3148.3002817349916,2026-07-31,72,2020-03-02,836489.8883688742,151,-14538.45084820078,137179.89194322831,148169.99999999997,116,44,37.93103448275862,-10925.108056771678,-94.1819660066524,-3148.3002817349916,-14500.77749111081,7064.521425263016,-8212.568338424964,-0.2422937519512502,0,0,
S1_r3_le_m2__AND__S2_clv_le_0p2,fixed_0940,discovery_cash,C01,2000,3000,0.0,11.0,116,116,0,-14564.113067298604,-14499.113067298616,-0.3622295985218613,3142.829067298401,1282.0,65.0,0,0,5484.74798140438,0.0,5484.74798140438,5484.747981404384,2026-03-18,10.535435999624243,74.32307697000215,1496.252081847464,3214.6744078170086,2026-07-31,74,2020-03-02,1714357.7875160784,151,-16705.772681102346,133605.88693270137,148169.99999999997,116,42,36.206896551724135,-14499.113067298616,-124.99235402843635,-3214.6744078170086,-16626.252234844324,6905.184872378582,-8437.363964535012,-0.3622295985218613,0,0,
S1_r3_le_m2__AND__S2_clv_le_0p2,fixed_0940,discovery_cash,C01,2000,3000,0.0,20.0,116,116,0,-19925.12058308799,-19860.12058308799,-0.5421333683777456,3141.240583088001,1282.0,65.0,0,0,10061.01728964402,0.0,10061.01728964402,10061.01728964402,2026-03-18,19.325811159515982,103.15884139999889,1609.1360638590013,3314.235596939994,2026-07-31,76,2020-03-02,3197366.9978532074,151,-20797.008716287986,128244.87941691198,148169.99999999997,116,40,34.48275862068966,-19860.12058308799,-171.20793606110337,-3314.235596939994,-20732.00871628799,6666.1800430520125,-8774.557403700004,-0.5421333683777456,0,0,
S2_clv_le_0p2__AND__S2_r3_le_m4,gap_low_target0.5,discovery_win_positive_cash,C02,2000,3000,0.0,5.0,106,106,0,-3542.122314916691,-3412.122314916661,-0.08960626852026492,2934.2823149170003,1210.0,130.0,0,0,182.74814979998882,0.0,182.74814979998882,182.74814979998882,2020-03-24,1.4035956205836315,0.0,1284.4951880864955,3148.3002817349916,2026-07-31,47,2020-03-02,434618.5219673736,198,-5130.952161750931,144627.87768508328,148169.99999999997,106,59,55.660377358490564,-3412.122314916661,-32.18983315959114,-3148.3002817349916,-4782.972434520947,7388.288563489006,-7053.90764590897,-0.08960626852026492,0,0,
S2_clv_le_0p2__AND__S2_r3_le_m4,gap_low_target0.5,discovery_win_positive_cash,C02,2000,3000,0.0,11.0,106,106,0,-6910.528493617632,-6780.5284936176495,-0.20945196281889203,2933.280493617401,1210.0,130.0,0,0,272.57120956000836,0.0,272.57120956000836,272.57120956000836,2020-03-24,2.0934808721966847,0.7672370600002978,1321.6680957903027,3214.6744078170086,2026-07-31,53,2020-03-02,647232.4636882998,198,-7171.621849463627,141259.47150638234,148169.99999999997,106,53,50.0,-6780.5284936176495,-63.96724993978915,-3214.6744078170086,-6862.7078015576435,7261.739723675795,-7269.36934979981,-0.20945196281889203,0,0,
S2_clv_le_0p2__AND__S2_r3_le_m4,gap_low_target0.5,discovery_win_positive_cash,C02,2000,3000,0.0,20.0,106,106,0,-11963.137761667982,-11833.137761667977,-0.38922050426679056,2931.777761668001,1210.0,130.0,0,0,2370.9780474719864,0.0,2370.9780474719864,2370.9780474719882,2026-07-31,4.181619131343892,16.063945580002837,1377.427457345997,3314.235596939994,2026-07-31,59,2020-03-02,2194571.054269807,198,-12093.137761667982,136206.862238332,148169.99999999997,106,47,44.339622641509436,-11833.137761667977,-111.63337511007525,-3314.235596939994,-11833.137761667977,7071.916463956004,-7592.561905635994,-0.38922050426679056,0,0,
S1_r3_le_m2__AND__S2_clv_le_0p2,gap_low_target0.5,discovery_win_positive_cash,C03,2000,3000,0.0,5.0,116,116,0,-9209.035369473626,-9144.035369473659,-0.2031294306526283,3143.7053694740016,1282.0,65.0,0,0,774.3161001157459,0.0,774.3161001157459,774.3161001157496,2026-01-14,1.2905268335262432,0.0,1420.9960938397435,3148.3002817349916,2026-07-31,55,2020-03-02,475021.7161973792,151,-11441.783614852786,138960.96463052634,148169.99999999997,116,61,52.58620689655172,-9144.035369473659,-78.82789111615223,-3148.3002817349916,-11403.191389812808,5461.761581624012,-8212.568338424964,-0.2031294306526283,0,0,
S1_r3_le_m2__AND__S2_clv_le_0p2,gap_low_target0.5,discovery_win_positive_cash,C03,2000,3000,0.0,11.0,116,116,0,-12781.972270443046,-12716.972270443031,-0.3230417903738868,3142.646270442801,1282.0,65.0,0,0,3426.4116154553667,0.0,3426.4116154553667,3426.411615455363,2026-01-14,5.710686025758944,11.200951620000524,1496.252081847464,3214.6744078170086,2026-07-31,61,2020-03-02,1199497.7454723283,154,-13923.775703032981,135388.02772955692,148169.99999999997,116,55,47.41379310344828,-12716.972270443031,-109.62907129692269,-3214.6744078170086,-13887.563211452965,5280.212210772801,-8437.363964535012,-0.3230417903738868,0,0,
S1_r3_le_m2__AND__S2_clv_le_0p2,gap_low_target0.5,discovery_win_positive_cash,C03,2000,3000,0.0,20.0,116,116,0,-18141.377621895983,-18076.377621895976,-0.5029103299557379,3141.0576218960014,1282.0,65.0,0,0,7776.201483052006,0.0,7776.201483052006,7776.201483052006,2026-03-18,14.936998622842884,36.17659780000031,1609.1360638590013,3314.235596939994,2026-07-31,64,2020-03-02,2902940.217895872,154,-18442.114332295983,130028.622378104,148170.0,116,52,44.827586206896555,-18076.377621895976,-155.83084156806876,-3314.235596939994,-18377.114332295976,5007.888154496006,-8774.557403700004,-0.5029103299557379,0,0,
S1_r3_le_m2__AND__S2_clv_le_0p2,target1_stop1,discovery_stress_cash,C04,2000,3000,0.0,5.0,116,116,0,-10169.651383446675,-10104.65138344668,-0.1859449038059531,3143.841383447001,1282.0,65.0,0,0,2465.403309159792,0.0,2465.403309159792,2465.4033091597885,2026-01-14,4.10900551526632,32.70994874999815,1420.9960938397435,3148.3002817349916,2026-07-31,62,2020-03-02,892667.9359180378,95,-14326.342684911826,138000.3486165533,148169.99999999997,116,54,46.55172413793103,-10104.65138344668,-87.10906365040242,-3148.3002817349916,-14268.745296721821,7064.521425263016,-8212.568338424964,-0.1859449038059531,0,0,
S1_r3_le_m2__AND__S2_clv_le_0p2,target1_stop1,discovery_stress_cash,C04,2000,3000,0.0,11.0,116,116,0,-13743.164365983597,-13678.164365983615,-0.30584695796388384,3142.7823659834007,1282.0,65.0,0,0,5118.512969752159,0.0,5118.512969752159,5118.5129697521625,2026-01-14,8.530854949586931,50.02677989000313,1496.252081847464,3214.6744078170086,2026-07-31,64,2020-03-02,1726926.1682447414,151,-16535.574490806546,134426.83563401637,148169.99999999997,116,52,44.827586206896555,-13678.164365983615,-117.91521005158289,-3214.6744078170086,-16447.81658078854,6905.184872378582,-8437.363964535012,-0.30584695796388384,0,0,
