rule,path,bp,period,n,wins,win,cash,mean,worst,mdd,top3,bottom3,mean_pct,delayed,missing_windows,unfinished,unknown_signal
S0,open,5,discovery,965,315,32.64248704663213,-24556.47073829858,-25.447119936060705,-1220.5307959,-29585.591763898952,4711.831791750004,-3595.8208772499984,-0.2286507679439909,0,0,0,0
S0,open,5,later,651,309,47.465437788018434,-12130.722657919414,-18.633982577449178,-4348.957669794001,-19406.4441908882,12285.06560638201,-12500.818039169993,-0.0975893918428588,1,0,0,0
S0,open,5,main,1617,625,38.651824366110084,-36600.11081561799,-22.63457688040692,-4348.957669794001,-44485.20469938641,12285.06560638201,-12500.818039169993,-0.17538821407684976,1,0,0,0
S0,open,5,2020,242,87,35.9504132231405,-5236.87569749961,-21.63998222107277,-1029.0969497999963,-8970.946010699701,3599.772337400006,-1971.2594283999895,-0.1832358566256376,0,0,0,0
S0,open,5,2021,243,57,23.456790123456788,-7512.097640399648,-30.913982059257812,-333.9977579999983,-7518.434728999668,549.8965817000078,-854.0043073999954,-0.24974915187071065,0,0,0,0
S0,open,5,2022,242,68,28.09917355371901,-6089.946493449734,-25.165068154750966,-290.91770759999787,-6101.4278836497315,645.9871686500031,-650.7412398499947,-0.25963960525771224,0,0,0,0
S0,open,5,2023,239,104,43.51464435146444,-5630.468326349587,-23.558444880123794,-1220.5307959,-7012.601619349854,3725.6332818500077,-3595.8208772499984,-0.21843992632724513,0,0,0,0
S0,open,5,2024,242,125,51.652892561983464,-2885.958303649394,-11.925447535741299,-2559.562615049996,-7463.2192980498785,4347.832404900009,-5382.83910369999,-0.07454083652136108,1,0,0,0
S0,open,5,2025,241,105,43.56846473029046,342.78319427788665,1.422336905717372,-4348.957669794001,-15241.860246738506,11118.843214596009,-11732.53586764499,-0.11863578725231026,0,0,0,0
S0,open,5,2026,168,79,47.023809523809526,-9587.547548547904,-57.06873540802324,-3886.711772625,-18692.79266484868,8917.83500115602,-10614.081497174991,-0.10059873168883883,0,0,0,0
S0,open,11,discovery,965,257,26.632124352331605,-40209.575944261174,-41.66795434638464,-1239.978938760002,-42977.41143330104,4644.452141849995,-3665.6330099500065,-0.3485570095188068,0,0,0,0
S0,open,11,later,651,282,43.31797235023041,-42006.72368903066,-64.52645727961699,-4436.0688879468125,-45102.24574944113,12035.974898840406,-12771.401247774023,-0.21749767723675392,1,0,0,0
S0,open,11,main,1617,540,33.39517625231911,-82147.28451597183,-50.802278612227475,-4436.0688879468125,-86521.40788179227,12035.974898840406,-12771.401247774023,-0.2952950234249543,1,0,0,0
S0,open,11,2020,242,74,30.57851239669421,-9567.829654500347,-39.53648617562127,-1052.3776095600012,-12335.66514354027,3536.0493822799945,-2031.3499424800048,-0.3031194948121685,0,0,0,0
S0,open,11,2021,243,45,18.51851851851852,-11211.958328880268,-46.139746209383816,-348.1987476000007,-11211.958328880268,497.1051997399976,-903.6237162800046,-0.3696637124660039,0,0,0,0
S0,open,11,2022,242,48,19.834710743801654,-8912.733845590219,-36.82947870078603,-303.2955967200015,-8913.228744030217,614.1253310299971,-686.7354076700044,-0.37953914863143595,0,0,0,0
S0,open,11,2023,239,91,38.07531380753138,-10448.03899797034,-43.71564434297213,-1239.978938760002,-10517.054115290344,3654.0554200699944,-3665.6330099500065,-0.33836565336582836,0,0,0,0
S0,open,11,2024,242,113,46.69421487603306,-9322.689428030459,-38.52351003318371,-2591.28907311,-10856.130351560332,4268.065050779995,-5472.949388140006,-0.1944295717589368,1,0,0,0
S0,open,11,2025,241,93,38.589211618257266,-10543.698098191437,-43.74978463979849,-4436.0688879468125,-21026.89843002621,10878.785968111206,-11990.743992819018,-0.238557684925301,0,0,0,0
S0,open,11,2026,168,76,45.23809523809524,-22140.336162808762,-131.78771525481406,-3978.9395997750144,-26063.330451723974,8676.733493743188,-10859.740499385029,-0.22051565147896776,0,0,0,0
S0,fixed_0940,5,discovery,965,392,40.62176165803108,-23976.12531059859,-24.84572571046486,-1550.699097549997,-32794.976615198924,5228.926379350003,-4014.303839499996,-0.23772584761360926,1,0,0,0
S0,fixed_0940,5,later,651,306,47.004608294930875,-39946.88833369246,-61.362347670802556,-6656.691276503985,-44980.694334142776,11345.23423809,-15024.84283446297,-0.24182566522810986,1,0,0,0
S0,fixed_0940,5,main,1617,699,43.22820037105751,-63515.76786209105,-39.2800048621466,-6656.691276503985,-73254.2293292914,11345.23423809,-15024.84283446297,-0.23756371461050263,2,0,0,0
S0,fixed_0940,5,2020,242,113,46.69421487603306,-1064.70725579962,-4.399616759502562,-675.8964862999974,-6802.97045629977,3739.0293388000064,-1603.7999546999954,-0.07141539676781049,0,0,0,0
S0,fixed_0940,5,2021,243,91,37.4485596707819,-7462.071639899657,-30.708113744443036,-731.3184168999978,-7812.828067999676,1128.3626375000072,-1753.6565163999967,-0.24752326818245324,0,0,0,0
S0,fixed_0940,5,2022,242,81,33.47107438016529,-6660.22979259973,-27.521610713222024,-309.9339013999987,-6751.751983199737,630.6681348000033,-787.4927095999973,-0.29231152782505354,0,0,0,0
S0,fixed_0940,5,2023,239,108,45.18828451882845,-8381.87084009958,-35.07058928911958,-1550.699097549997,-12325.309745899844,4706.868681800003,-4014.303839499996,-0.3286273997567948,1,0,0,0
S0,fixed_0940,5,2024,242,114,47.107438016528924,-10249.711940449408,-42.35418157210499,-2559.562615049996,-13316.295846499559,4428.106312850007,-6091.05835974999,-0.25198175025659,1,0,0,0
S0,fixed_0940,5,2025,241,109,45.22821576763486,-21230.351774119088,-88.09274595070161,-6656.691276503985,-35668.88369969346,10718.426595789013,-15024.84283446297,-0.32447493202677324,0,0,0,0
S0,fixed_0940,5,2026,168,83,49.404761904761905,-8466.824619123967,-50.39776559002361,-3677.609302811986,-19909.760311828275,10208.247675120003,-10633.539336128975,-0.10863372549376434,0,0,0,0
S0,fixed_0940,11,discovery,965,348,36.06217616580311,-39628.88248332119,-41.066199464581544,-1569.3802146099995,-44439.29942448089,5159.975674569994,-4065.5314069000015,-0.35763753151506356,1,0,0,0
S0,fixed_0940,11,later,651,291,44.70046082949309,-69839.57672053133,-107.2804557919068,-6749.369648308797,-71559.68539051409,11109.495963797983,-15251.65560301861,-0.36182047523655625,1,0,0,0
S0,fixed_0940,11,main,1617,640,39.57946815089672,-109079.08888301253,-67.45769256834417,-6749.369648308797,-114567.53837185516,11109.495963797983,-15251.65560301861,-0.3575078211233014,2,0,0,0
S0,fixed_0940,11,2020,242,102,42.14876033057851,-5393.159162760342,-22.285781664298934,-697.1920298600015,-9661.519492540248,3674.910625359999,-1665.2756603400023,-0.19123197620779941,0,0,0,0
S0,fixed_0940,11,2021,243,78,32.098765432098766,-11161.902327780299,-45.93375443530987,-749.9393171800025,-11328.41963872029,1074.8398024999951,-1803.3361760800035,-0.3674364939149655,0,0,0,0
S0,fixed_0940,11,2022,242,69,28.512396694214875,-9483.359143720194,-39.18743447818262,-321.8560230800022,-9563.942843040195,595.765816559996,-821.723801120005,-0.4122306645556384,0,0,0,0
S0,fixed_0940,11,2023,239,100,41.84100418410041,-13201.091528220357,-55.234692586696056,-1569.3802146099995,-14148.256320980134,4630.379579959997,-4065.5314069000015,-0.4486192062397142,1,0,0,0
S0,fixed_0940,11,2024,242,112,46.28099173553719,-16690.859108990488,-68.97049218591111,-2591.28907311,-18203.15994133037,4340.678888269992,-6179.903071450006,-0.37197689683673574,1,0,0,0
S0,fixed_0940,11,2025,241,100,41.49377593360996,-32129.776475864834,-133.31857458865076,-6749.369648308797,-41802.58154549735,10484.721663535782,-15251.65560301861,-0.4445203419676343,0,0,0,0
S0,fixed_0940,11,2026,168,79,47.023809523809526,-21018.941135675992,-125.11274485521423,-3757.006293386398,-29560.353389763433,9947.543382863976,-10878.83843308381,-0.22855546387088252,0,0,0,0
S0,fixed_1000,5,discovery,965,424,43.93782383419689,-22975.599297598565,-23.80891118922131,-2075.981235199999,-32724.918503648914,5124.775793850005,-4964.788344249996,-0.2341664073478303,2,0,0,0
S0,fixed_1000,5,later,651,304,46.6973886328725,-66142.97930867922,-101.60211875373152,-7101.885698126991,-69888.4468074374,11657.311692354004,-17076.754215224984,-0.34258112246225975,1,0,0,0
S0,fixed_1000,5,main,1617,729,45.083487940630796,-88461.2053228278,-54.70699154163747,-7101.885698126991,-96391.05668253604,11657.311692354004,-17076.754215224984,-0.2749803258580476,3,0,0,0
S0,fixed_1000,5,2020,242,120,49.586776859504134,-1715.045262299609,-7.086963893800037,-677.0793962999991,-7533.350063599776,3493.1939364000027,-1972.3199683999972,-0.0890236597947727,0,0,0,0
S0,fixed_1000,5,2021,243,108,44.44444444444444,-5771.192822999648,-23.749764703702258,-1311.620022699997,-6247.27292269966,1488.5498411000058,-2618.101144999994,-0.19123855080708,0,0,0,0
S0,fixed_1000,5,2022,242,87,35.9504132231405,-6069.923286849733,-25.082327631610468,-333.4470929999979,-6172.2337535497345,730.0376006500027,-811.163410099995,-0.27107001227759486,0,0,0,0
S0,fixed_1000,5,2023,239,110,46.02510460251046,-8762.064641999576,-36.66135833472626,-2075.981235199999,-14526.431756899841,4551.824211050007,-4964.788344249996,-0.36823949666066336,2,0,0,0
S0,fixed_1000,5,2024,242,118,48.760330578512395,-14301.777460699388,-59.09825396983218,-2559.562615049996,-16208.889347349497,4558.17261350001,-6751.394963049992,-0.33648739128254174,0,0,0,0
S0,fixed_1000,5,2025,241,113,46.88796680497925,-33037.70949586507,-137.08593151811232,-7101.885698126991,-44989.98684147148,11154.25213427701,-17076.754215224984,-0.4425154015256493,1,0,0,0
S0,fixed_1000,5,2026,168,73,43.452380952380956,-18803.492352114776,-111.92554971496891,-4159.921825934995,-33173.21214250325,10671.824018835028,-11686.283241371977,-0.2080008944337767,0,0,0,0
S0,fixed_1000,11,discovery,965,379,39.274611398963735,-38627.756454721195,-40.02876316551419,-2092.0178374400007,-44332.71890803085,5053.330306469997,-5016.585917350001,-0.3540759566524237,2,0,0,0
S0,fixed_1000,11,later,651,291,44.70046082949309,-96051.37449670263,-147.54435406559543,-7164.625672679406,-97889.88857813015,11416.318807978769,-17298.492741495014,-0.4626363421049678,1,0,0,0
S0,fixed_1000,11,main,1617,671,41.49659863945578,-134039.48312783384,-82.89392895969934,-7164.625672679406,-139059.24072399127,11416.318807978769,-17298.492741495014,-0.394946865711923,3,0,0,0
S0,fixed_1000,11,2020,242,114,47.107438016528924,-6043.887177060337,-24.974740401075774,-699.0705918600032,-10146.819099920192,3425.572900079993,-2033.0341704800067,-0.208850798912739,0,0,0,0
S0,fixed_1000,11,2021,243,92,37.86008230452675,-9470.009490600289,-38.97123247160613,-1330.5889299400014,-9738.23986994028,1435.243010419996,-2670.6476390000016,-0.3111180225861437,0,0,0,0
