event,cash,n,start,end
0,761.0550205000072,7,2020-02-28,2020-03-23
1,-197.96316659999684,1,2020-06-15,2020-06-15
2,-28.86371969999891,1,2020-07-24,2020-07-24
3,-50.05702989999918,1,2020-08-31,2020-08-31
4,-11.884708799994769,3,2021-02-02,2021-02-05
5,-47.43647509999755,1,2021-05-07,2021-05-07
6,-144.47001609999825,1,2021-07-02,2021-07-02
7,-23.428654899998946,1,2021-07-16,2021-07-16
8,102.66909660000238,1,2021-07-29,2021-07-29
9,-157.37799039999845,2,2021-08-27,2021-08-30
10,-3.948524699999325,1,2021-09-16,2021-09-16
11,26.107865600000878,1,2021-10-15,2021-10-15
12,-62.77642030000061,1,2021-10-28,2021-10-28
13,-112.43531079999775,1,2021-11-29,2021-11-29
14,-125.38968059999752,2,2022-01-27,2022-01-28
15,87.480951800002,3,2022-03-08,2022-03-15
16,-80.11507549999806,1,2022-04-20,2022-04-20
17,-143.08714454999972,3,2022-09-19,2022-09-22
18,-118.64549544999863,1,2022-12-27,2022-12-27
19,-107.44683524999891,2,2023-02-07,2023-02-08
20,-219.32254094999917,1,2023-02-27,2023-02-27
21,-529.7557871999979,2,2023-04-24,2023-04-27
22,-96.97377520000373,1,2023-07-20,2023-07-20
23,203.0874979000073,3,2023-08-11,2023-08-18
24,840.4238821000035,2,2023-09-05,2023-09-07
25,-367.7213691500001,1,2023-09-15,2023-09-15
26,3463.21511105002,7,2023-10-12,2023-10-25
27,-15.323839749997205,2,2023-11-27,2023-11-29
28,-189.71085514999504,5,2023-12-14,2023-12-26
29,-120.15180764999604,3,2024-01-05,2024-01-09
30,79.53947555000013,1,2024-01-30,2024-01-30
31,-610.66002259999,2,2024-03-25,2024-03-27
32,-372.2350266499998,1,2024-04-10,2024-04-10
33,-1795.790060549989,4,2024-05-24,2024-05-31
34,1062.802186900015,7,2024-07-17,2024-08-07
35,-356.1170635000017,1,2024-08-27,2024-08-27
36,-133.89240989999962,1,2024-09-06,2024-09-06
37,-521.6078243499906,2,2024-10-15,2024-10-17
38,-616.2783828499996,1,2024-11-01,2024-11-01
39,178.46629135000694,2,2024-11-15,2024-11-18
40,-163.2677380999994,1,2024-11-28,2024-11-28
41,-512.924187149998,2,2025-01-02,2025-01-03
42,-270.51230114999635,1,2025-02-05,2025-02-05
43,147.8933984500036,1,2025-02-28,2025-02-28
44,78.36455330000535,2,2025-03-21,2025-03-28
45,-711.1774308499989,1,2025-06-24,2025-06-24
46,-4135.602531719967,3,2025-09-26,2025-10-14
47,-356.96722172399313,2,2025-11-11,2025-11-14
48,-99.3073017329807,3,2025-11-24,2025-11-27
49,-866.3836862519966,1,2025-12-15,2025-12-15
50,-1732.149293273993,1,2025-12-31,2025-12-31
51,-556.7028492149911,1,2026-01-13,2026-01-13
52,-1143.210106208986,3,2026-01-28,2026-02-09
53,-294.5898992699804,2,2026-03-03,2026-03-04
54,1039.5838166940157,2,2026-03-17,2026-03-20
55,4642.085440503011,2,2026-06-26,2026-07-01
56,466.45958316600445,1,2026-07-15,2026-07-15
57,-3148.3002817349916,1,2026-07-30,2026-07-30
58,-481.991218309995,1,2026-08-13,2026-08-13
59,-2270.3891674429833,1,2026-09-04,2026-09-04
