candidate,date,clock,five_ref,one_ref,difference,covered
C00,2020-01-14,14:50,18.4,,,False
C00,2020-01-23,14:50,19.94,,,False
C00,2020-02-25,14:50,19.99,,,False
C00,2020-02-26,14:50,18.76,,,False
C00,2020-03-27,14:50,13.06,,,False
C00,2020-04-03,14:50,13.97,,,False
C00,2020-04-17,14:50,13.99,,,False
C00,2020-06-29,14:50,15.16,,,False
C00,2020-07-01,14:50,15.24,,,False
C00,2020-07-07,14:50,16.47,,,False
C00,2020-08-17,14:50,15.26,,,False
C00,2020-11-10,14:50,15.12,,,False
C00,2020-11-11,14:50,14.49,,,False
C00,2021-01-15,14:50,15.26,,,False
C00,2021-02-18,14:50,13.96,,,False
C00,2021-08-03,14:50,11.81,,,False
C00,2021-08-04,14:50,11.93,,,False
C00,2021-08-05,14:50,11.85,,,False
C00,2022-07-21,14:50,10.08,,,False
C00,2023-03-03,14:50,11.2,,,False
C00,2023-03-06,14:50,11.05,,,False
C00,2023-03-07,14:50,10.48,,,False
C00,2023-03-14,14:50,11.86,,,False
C00,2023-03-15,14:50,12.08,,,False
C00,2023-03-16,14:50,12.35,,,False
C00,2023-03-20,14:50,14.89,,,False
C00,2023-03-21,14:50,14.59,,,False
C00,2023-03-23,14:50,16.93,,,False
C00,2023-03-24,14:50,17.37,,,False
C00,2023-03-27,14:50,17.45,,,False
C00,2023-03-28,14:50,16.42,,,False
C00,2023-04-04,14:50,17.41,,,False
C00,2023-04-07,14:50,18.42,,,False
C00,2023-04-19,14:50,17.27,,,False
C00,2023-05-18,14:50,16.31,,,False
C00,2023-05-19,14:50,16.21,,,False
C00,2023-05-22,14:50,15.48,,,False
C00,2023-05-29,14:50,17.84,,,False
C00,2023-05-30,14:50,17.99,,,False
C00,2023-05-31,14:50,18.06,,,False
C00,2023-06-01,14:50,17.84,,,False
C00,2023-06-12,14:50,21.12,,,False
C00,2023-06-13,14:50,21.92,,,False
C00,2023-06-14,14:50,22.52,,,False
C00,2023-06-15,14:50,22.62,,,False
C00,2023-06-20,14:50,26.3,,,False
C00,2023-06-21,14:50,24.52,,,False
C00,2023-07-03,14:50,24.31,,,False
C00,2023-07-17,14:50,25.79,,,False
C00,2023-07-18,14:50,25.57,,,False
C00,2023-08-08,14:50,24.22,,,False
C00,2023-08-09,14:50,22.33,,,False
C00,2023-08-23,14:50,21.4,,,False
C00,2023-08-24,14:50,22.47,,,False
C00,2023-08-25,14:50,20.23,,,False
C00,2023-08-31,14:50,22.02,,,False
C00,2023-09-01,14:50,21.18,,,False
C00,2023-09-25,14:50,19.29,,,False
C00,2023-09-27,14:50,19.83,,,False
C00,2023-10-31,14:50,14.69,,,False
C00,2023-11-01,14:50,14.56,,,False
C00,2023-11-16,14:50,15.99,,,False
C00,2023-12-11,14:50,15.57,,,False
C00,2023-12-12,14:50,15.23,,,False
C00,2023-12-13,14:50,15.07,,,False
C00,2024-01-02,14:50,14.21,,,False
C00,2024-01-19,14:50,14.24,,,False
C00,2024-01-22,14:50,14.41,,,False
C00,2024-01-23,14:50,14.57,,,False
C00,2024-01-24,14:50,14.4,,,False
C00,2024-02-02,14:50,14.01,,,False
C00,2024-02-06,14:50,15.48,,,False
C00,2024-02-07,14:50,15.23,,,False
C00,2024-02-08,14:50,15.65,,,False
C00,2024-02-20,14:50,18.58,,,False
C00,2024-02-21,14:50,17.51,,,False
C00,2024-02-22,14:50,18.02,,,False
C00,2024-03-05,14:50,22.51,,,False
C00,2024-03-06,14:50,21.98,,,False
