rule,n,original_cash,opposite_cash,opposite_mean,note
S0,1623,-32234.609243117986,-131511.47060837405,-0.32727591657662203,nominal same dates only; not account or adopted strategy
S1_clv_le_0p2,375,-14781.231213723104,-22739.43742877509,-0.28146026085976306,nominal same dates only; not account or adopted strategy
S1_clv_le_0p3,534,-17094.30516822175,-35729.01388027576,-0.28887065082912466,nominal same dates only; not account or adopted strategy
S1_r3_le_m2,468,-15564.657379143699,-35398.71564935376,-0.34087302875818726,nominal same dates only; not account or adopted strategy
S1_r3_ge_4,295,-732.6370309461045,-35510.2961155521,-0.2435361461017978,nominal same dates only; not account or adopted strategy
S1_r3_ge_6,197,-7283.544592732413,-18067.733570266348,-0.17708429303930417,nominal same dates only; not account or adopted strategy
S1_r20_le_m10,245,-5802.843558675372,-19499.58035682337,-0.34985567335005036,nominal same dates only; not account or adopted strategy
S1_r20_le_0,810,-10276.510245582236,-64801.1952719142,-0.35218948950080015,nominal same dates only; not account or adopted strategy
S1_r20_ge_0,813,-21958.098997535748,-66710.27533645985,-0.30245427565585403,nominal same dates only; not account or adopted strategy
S1_vr_le_0p8,603,-20340.426576010577,-37117.038492986605,-0.2896999244687434,nominal same dates only; not account or adopted strategy
S1_vr_le_1,961,-14400.701851820691,-81640.98901667469,-0.35836135115886547,nominal same dates only; not account or adopted strategy
S1_vr_ge_1p2,420,-13546.787854746952,-27609.75721325095,-0.29009928467463775,nominal same dates only; not account or adopted strategy
S1_vr_ge_1p5,192,-6244.912299024615,-11082.139313474581,-0.23435122140092865,nominal same dates only; not account or adopted strategy
S1_relative_ge_0,764,-3347.1404738169495,-76093.296164679,-0.35393733449604425,nominal same dates only; not account or adopted strategy
S1_relative_lt_0,859,-28887.468769301035,-55418.174443695054,-0.3035630838752964,nominal same dates only; not account or adopted strategy
S1_market20_ge_0,842,-9299.37429827269,-80214.61547022276,-0.3602861237806909,nominal same dates only; not account or adopted strategy
S1_market20_lt_0,781,-22935.234944845295,-51296.855138151266,-0.2916874473502122,nominal same dates only; not account or adopted strategy
S1_gapdays_ge_3,342,-3856.7670136571587,-30538.13258484123,-0.3710169430658186,nominal same dates only; not account or adopted strategy
S2_clv_ge_0p7,446,-11793.083470435857,-35944.96930056186,-0.2861863036529226,nominal same dates only; not account or adopted strategy
S2_clv_ge_0p8,310,-10839.126672552204,-22116.22924544622,-0.24500157183732366,nominal same dates only; not account or adopted strategy
S2_r3_le_m6,126,-5959.936455697608,-8669.091578301633,-0.3056526969398654,nominal same dates only; not account or adopted strategy
S2_r3_le_m2,466,-6576.971420074695,-44136.39261692278,-0.3711092172642102,nominal same dates only; not account or adopted strategy
S2_r3_ge_2,467,-22265.68940967072,-29940.218150826637,-0.2155954279765868,nominal same dates only; not account or adopted strategy
S2_r3_ge_4,294,-12249.948993274076,-24125.35220872404,-0.2267875169610833,nominal same dates only; not account or adopted strategy
S2_r3_ge_6,191,-10161.933098049372,-14718.830298449324,-0.1795849519472326,nominal same dates only; not account or adopted strategy
