entry_i,entry,sell_ref,exit_i,exit,buy_ref,buy_clock,kind,trigger,missing_windows,delayed,missed_dividend,terminal_mark,path
0,2018-06-08,19.83,3,2018-06-13,24.55,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
1,2018-06-11,21.81,3,2018-06-13,24.55,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
2,2018-06-12,23.99,4,2018-06-14,24.51,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
3,2018-06-13,25.72,5,2018-06-15,22.6,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
4,2018-06-14,23.29,6,2018-06-19,21.83,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
5,2018-06-15,22.58,7,2018-06-20,19.8,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
6,2018-06-19,20.32,8,2018-06-21,19.6,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
7,2018-06-20,19.86,9,2018-06-22,17.7,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
8,2018-06-21,18.17,10,2018-06-25,18.62,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
9,2018-06-22,18.72,11,2018-06-26,17.74,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
10,2018-06-25,18.21,12,2018-06-27,18.5,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
11,2018-06-26,18.53,13,2018-06-28,18.22,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
12,2018-06-27,18.27,14,2018-06-29,17.95,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
13,2018-06-28,17.89,15,2018-07-02,18.2,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
14,2018-06-29,18.44,16,2018-07-03,17.54,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
15,2018-07-02,17.59,17,2018-07-04,17.7,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
16,2018-07-03,17.9,18,2018-07-05,17.0,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
17,2018-07-04,17.17,19,2018-07-06,16.91,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1450
