entry_i,entry,sell_ref,exit_i,exit,buy_ref,buy_clock,kind,trigger,missing_windows,delayed,missed_dividend,terminal_mark,path
0,2018-06-08,19.83,3,2018-06-13,24.55,09:25,forced_open_retry,planned_open,0,True,0.0,64.07,open
1,2018-06-11,21.81,3,2018-06-13,24.55,09:25,forced_open_retry,planned_open,0,True,0.0,64.07,open
2,2018-06-12,23.99,3,2018-06-13,24.55,09:25,daily_open,planned_open,0,False,0.0,64.07,open
3,2018-06-13,25.72,4,2018-06-14,24.51,09:25,daily_open,planned_open,0,False,0.0,64.07,open
4,2018-06-14,23.29,5,2018-06-15,22.6,09:25,daily_open,planned_open,0,False,0.0,64.07,open
5,2018-06-15,22.58,6,2018-06-19,21.83,09:25,daily_open,planned_open,0,False,0.0,64.07,open
6,2018-06-19,20.32,7,2018-06-20,19.8,09:25,daily_open,planned_open,0,False,0.0,64.07,open
7,2018-06-20,19.86,8,2018-06-21,19.6,09:25,daily_open,planned_open,0,False,0.0,64.07,open
8,2018-06-21,18.17,9,2018-06-22,17.7,09:25,daily_open,planned_open,0,False,0.0,64.07,open
9,2018-06-22,18.72,10,2018-06-25,18.62,09:25,daily_open,planned_open,0,False,0.0,64.07,open
10,2018-06-25,18.21,11,2018-06-26,17.74,09:25,daily_open,planned_open,0,False,0.0,64.07,open
11,2018-06-26,18.53,12,2018-06-27,18.5,09:25,daily_open,planned_open,0,False,0.0,64.07,open
12,2018-06-27,18.27,13,2018-06-28,18.22,09:25,daily_open,planned_open,0,False,0.0,64.07,open
13,2018-06-28,17.89,14,2018-06-29,17.95,09:25,daily_open,planned_open,0,False,0.0,64.07,open
14,2018-06-29,18.44,15,2018-07-02,18.2,09:25,daily_open,planned_open,0,False,0.0,64.07,open
15,2018-07-02,17.59,16,2018-07-03,17.54,09:25,daily_open,planned_open,0,False,0.0,64.07,open
16,2018-07-03,17.9,17,2018-07-04,17.7,09:25,daily_open,planned_open,0,False,0.0,64.07,open
17,2018-07-04,17.17,18,2018-07-05,17.0,09:25,daily_open,planned_open,0,False,0.0,64.07,open
18,2018-07-05,16.96,19,2018-07-06,16.91,09:25,daily_open,planned_open,0,False,0.0,64.07,open
19,2018-07-06,17.23,20,2018-07-09,17.23,09:25,daily_open,planned_open,0,False,0.0,64.07,open
20,2018-07-09,17.47,21,2018-07-10,17.51,09:25,daily_open,planned_open,0,False,0.0,64.07,open
21,2018-07-10,17.35,22,2018-07-11,16.95,09:25,daily_open,planned_open,0,False,0.0,64.07,open
22,2018-07-11,16.65,23,2018-07-12,16.65,09:25,daily_open,planned_open,0,False,0.0,64.07,open
23,2018-07-12,17.96,24,2018-07-13,17.7,09:25,daily_open,planned_open,0,False,0.0,64.07,open
24,2018-07-13,17.62,25,2018-07-16,17.62,09:25,daily_open,planned_open,0,False,0.0,64.07,open
25,2018-07-16,17.84,26,2018-07-17,17.84,09:25,daily_open,planned_open,0,False,0.0,64.07,open
26,2018-07-17,17.69,27,2018-07-18,17.69,09:25,daily_open,planned_open,0,False,0.0,64.07,open
