date,cash,hold_cash,shares,receivable,hold_receivable,tax_reserve,fee,tax,payment,hold_payment,deposit,external,equity,hold_equity,relative,pool_ex_external,relative_cash_pool
2020-01-02,0.0,0.0,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55140.0,55140.0,0.0,0.0,0.0
2020-01-03,0.0,0.0,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54660.0,54660.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53699.99999999999,53699.99999999999,0.0,0.0,0.0
2020-01-07,0.0,0.0,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53580.0,53580.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52560.0,52560.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54900.0,54900.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54090.0,54090.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55830.0,55830.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55170.0,55170.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56100.0,56100.0,0.0,0.0,0.0
2020-01-16,18365.99145602,0.0,2000,0,0,0.0,23.75754398,0.0,0.0,0.0,0.0,0.0,55185.99145602,55230.0,-44.00854398000229,18365.99145602,18365.99145602
2020-01-17,0.0,750.3897639600036,3000,0,0,0.0,5.38221998,0.0,0.0,0.0,750.3897639600036,750.3897639600036,56969.99999999999,57720.389763959996,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-01-20,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,58020.0,58770.38976396,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-01-21,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,57270.0,58020.38976396,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-01-22,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,62550.00000000001,63300.38976396001,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-01-23,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,60000.0,60750.38976396,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-03,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,54000.0,54750.38976396,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-04,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,54060.0,54810.38976396,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-05,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,56070.00000000001,56820.38976396001,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-06,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,56760.00000000001,57510.38976396001,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-07,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,57900.0,58650.38976396,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-10,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,56730.0,57480.38976396,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-11,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,57690.0,58440.38976396,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-12,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,57449.99999999999,58200.389763959996,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-13,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,55260.00000000001,56010.38976396001,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-14,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,55050.00000000001,55800.38976396001,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-17,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,57570.00000000001,58320.38976396001,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-18,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,56550.00000000001,57300.38976396001,-750.3897639600036,-750.3897639600036,-750.3897639600036
2020-02-19,0.0,750.3897639600036,3000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,750.3897639600036,55469.99999999999,56220.389763959996,-750.3897639600036,-750.3897639600036,-750.3897639600036
