candidate,rule,path,category,status,stock,initialcash,slip_bp,sales,completed,pending,increment,completed_increment,mean_pct,fees,tax_paid,terminal_tax_reserve,terminal_receivable,terminal_missing,deposits,withdrawals,unreturned,peak_requirement,peak_date,peak_pct_1000_value,single_median,single_p95,single_max,single_max_date,single_positive,first_deposit,deposit_yuan_days,longest_relative_deficit_calendar_days,relative_mdd,flow_adjusted_absolute_profit,hold_flow_adjusted_absolute_profit,trade_n,trade_wins,trade_win,trade_cash,trade_mean,trade_worst,trade_mdd,trade_top3,trade_bottom3,trade_mean_pct,minimum_old_shares,missing_windows,delayed
H00,S1_clv_ge_0p8__AND__S1_vr_le_1,fixed_1450,cash,posthoc_full_history_discovery_NOT_OOS,3000,0.0,5.0,154,154,0,23052.320934456395,23052.320934456417,0.04907970551691155,4319.9540655440005,1243.0,0.0,0,0,1719.697702849884,0.0,1719.697702849884,1719.697702849884,2022-07-28,17.00986847527086,8.458922299998449,865.2659409413828,2082.0077701500013,2024-07-09,81,2020-01-17,4086427.5280900113,142,-5312.038733399779,171222.32093445637,148169.99999999997,154,73,47.4025974025974,23052.320934456417,149.6903956782884,-2082.0077701500013,-5015.647171149798,13030.46454890701,-5848.752365366996,0.04907970551691155,2000,0,0
H00,S1_clv_ge_0p8__AND__S1_vr_le_1,fixed_1450,cash,posthoc_full_history_discovery_NOT_OOS,3000,0.0,11.0,154,154,0,18524.13183340282,18524.131833402836,-0.07066945933354801,4318.473166596803,1243.0,0.0,0,0,2905.628426270092,0.0,2905.628426270092,2905.628426270092,2022-07-28,28.740142693077072,23.90357745000074,954.6791557510874,2115.5696943300027,2024-07-09,85,2020-01-17,6154003.185268246,142,-7452.97089348016,166694.1318334028,148169.99999999997,154,69,44.8051948051948,18524.131833402836,120.28657034677167,-2115.5696943300027,-7135.560056530161,12778.41675879537,-6000.467443007412,-0.07066945933354801,2000,0,0
H00,S1_clv_ge_0p8__AND__S1_vr_le_1,fixed_1450,cash,posthoc_full_history_discovery_NOT_OOS,3000,0.0,20.0,154,154,0,11731.848181824025,11731.848181824016,-0.25029320660919807,4316.251818175997,1243.0,0.0,0,0,4684.524511400008,0.0,4684.524511400008,4684.524511400008,2022-07-28,46.33555401978248,48.27986879999844,1088.7989779655986,2165.912580600001,2024-07-09,91,2020-01-17,9530188.797071619,142,-10664.369133600005,159901.848181824,148169.99999999997,154,63,40.909090909090914,11731.848181824016,76.1808323495066,-2165.912580600001,-10315.429384600016,12400.345073628007,-6228.0400594679995,-0.25029320660919807,2000,0,0
H01,S1_clv_ge_0p7__AND__S1_r3_le_m4,gap_low_target0.5,win,posthoc_full_history_discovery_NOT_OOS,3000,0.0,5.0,41,41,0,14614.974335681094,14744.974335681112,0.5872609263174121,1249.230664319,735.0,130.0,0,0,134.8814609000001,0.0,134.8814609000001,134.8814609000001,2020-03-02,0.773402872133028,0.0,520.9841998499978,866.3836862519966,2025-12-16,10,2020-03-02,321557.4027856002,483,-1383.8816390499996,162784.97433568106,148169.99999999997,41,31,75.60975609756098,14744.974335681112,359.63352038246614,-866.3836862519966,-1352.6787562999962,7439.440175057025,-2219.0624425519927,0.5872609263174121,1000,0,0
H01,S1_clv_ge_0p7__AND__S1_r3_le_m4,gap_low_target0.5,win,posthoc_full_history_discovery_NOT_OOS,3000,0.0,11.0,41,41,0,13102.459984098095,13232.459984098083,0.46782094723739265,1248.7910159018006,735.0,130.0,0,0,155.4212139800038,0.0,155.4212139800038,155.4212139800038,2020-03-02,0.8911766856651595,0.0,553.4301596700025,937.7900105544031,2025-12-16,12,2020-03-02,370524.1741283291,483,-1457.0654859100177,161272.45998409807,148169.99999999997,41,29,70.73170731707317,13232.459984098083,322.74292644141667,-937.7900105544031,-1410.3005438600085,7190.474309125391,-2348.0905544144116,0.46782094723739265,1000,0,0
H01,S1_clv_ge_0p7__AND__S1_r3_le_m4,gap_low_target0.5,win,posthoc_full_history_discovery_NOT_OOS,3000,0.0,20.0,41,41,0,10833.68845672402,10963.688456724032,0.2886609786174057,1248.131543276,735.0,130.0,0,0,186.23084359999848,0.0,186.23084359999848,186.23084359999848,2020-03-02,1.067837405963294,0.0,602.0990993999985,1044.899497008002,2025-12-16,15,2020-03-02,443974.3311423964,483,-1817.1200110000063,159003.688456724,148169.99999999997,41,26,63.41463414634146,10963.688456724032,267.40703552985445,-1044.899497008002,-1747.0119799999939,6817.025510228006,-2541.632722208,0.2886609786174057,1000,0,0
H02,S1_clv_ge_0p8__AND__S1_vr_le_1,open,cash_open_control,posthoc_full_history_discovery_NOT_OOS,3000,0.0,5.0,154,154,0,8332.496466339391,8332.496466339413,-0.06741659581219991,4322.423533660998,1243.0,0.0,0,0,589.1102374998918,0.0,589.1102374998918,589.1102374998918,2022-08-03,6.060804912550327,30.132740000000013,462.68868151049713,1633.135730957998,2026-04-01,98,2020-01-17,1200682.68538227,142,-5532.404807520943,156502.49646633936,148169.99999999997,154,56,36.36363636363637,8332.496466339413,54.10711991129489,-1633.135730957998,-5517.905873330943,5748.781941467023,-3820.780093949972,-0.06741659581219991,2000,0,0
H02,S1_clv_ge_0p8__AND__S1_vr_le_1,open,cash_open_control,posthoc_full_history_discovery_NOT_OOS,3000,0.0,11.0,154,154,0,3795.4798843454337,3795.47988434543,-0.18723562351203246,4320.9441156542,1243.0,0.0,0,0,1786.231002500097,0.0,1786.231002500097,1786.231002500097,2022-08-03,18.376862165638858,44.63853588999973,497.47448340450416,1695.7964273075995,2026-04-01,105,2020-01-17,3446059.610279678,142,-6375.277318697888,151965.4798843454,148169.99999999997,154,49,31.818181818181817,3795.47988434543,24.645973274970324,-1695.7964273075995,-6252.625607479895,5483.679707227377,-4036.295032290014,-0.18723562351203246,2000,0,0
H02,S1_clv_ge_0p8__AND__S1_vr_le_1,open,cash_open_control,posthoc_full_history_discovery_NOT_OOS,3000,0.0,20.0,154,154,0,-3010.0449886440474,-3010.0449886440547,-0.36696416506174157,4318.724988643999,1243.0,0.0,0,0,3581.912149999989,0.0,3581.912149999989,3581.912149999989,2022-08-03,36.85094804526738,66.97336959999939,565.1604518836051,1789.7874718319945,2026-04-01,114,2020-01-17,6944590.869170176,142,-8199.415366200003,145159.95501135592,148169.99999999997,154,40,25.97402597402597,-3010.0449886440547,-19.54574667950685,-1789.7874718319945,-7979.9742631440095,5086.026355867987,-4359.567439799976,-0.36696416506174157,2000,0,0
H03,S1_clv_ge_0p7__AND__S1_r3_le_m4,open,win_open_control,posthoc_full_history_discovery_NOT_OOS,3000,0.0,5.0,41,41,0,13874.457462281105,14004.45746228111,0.5426552123857705,1249.3775377189997,735.0,130.0,0,0,264.9490622000012,0.0,264.9490622000012,264.9490622000012,2020-03-02,1.5192033383027592,0.0,267.5812670999985,753.0980170739931,2026-02-03,16,2020-03-02,631638.5642848029,483,-900.5473654230009,162044.45746228108,148169.99999999997,41,25,60.97560975609756,14004.45746228111,341.5721332263686,-753.0980170739931,-753.0980170739931,7439.440175057025,-1492.1902388239905,0.5426552123857705,1000,0,0
