event,cash,n,start,end
0,-47.547194999995554,1,2020-01-16,2020-01-16
1,-264.9490622000012,1,2020-02-28,2020-02-28
2,246.41747289999876,1,2020-03-11,2020-03-11
3,-65.26588949999496,3,2020-04-15,2020-04-23
4,-184.08419569999387,3,2020-05-20,2020-06-01
5,-39.06287500000144,1,2020-06-17,2020-06-17
6,57.29739680000603,2,2020-07-21,2020-07-22
7,-49.13925489999929,1,2020-07-30,2020-07-30
8,-302.92545529999006,7,2020-08-28,2020-09-21
9,146.16898760000367,3,2020-10-21,2020-10-28
10,-19.11365979999937,1,2020-11-16,2020-11-16
11,11.371025499998723,1,2020-12-02,2020-12-02
12,-25.468794499995056,2,2020-12-15,2020-12-18
13,-87.09016549999797,1,2020-12-28,2020-12-28
14,203.5754197000133,7,2021-02-05,2021-03-08
15,-95.21966519999478,2,2021-03-17,2021-03-18
16,-148.63123569999698,2,2021-04-22,2021-04-28
17,-84.23550509999586,2,2021-05-13,2021-05-19
18,-60.26847489999636,2,2021-06-01,2021-06-02
19,-31.17064959999516,2,2021-06-18,2021-06-25
20,-39.70740969999861,2,2021-07-06,2021-07-07
21,-37.892254699996556,2,2021-07-20,2021-07-21
22,-39.01490979999835,1,2021-08-11,2021-08-11
23,-108.99012550000043,1,2021-09-02,2021-09-02
24,-269.4248660999947,4,2021-10-14,2021-11-01
25,-73.02636039999925,1,2021-12-06,2021-12-06
26,-34.433209999999235,1,2021-12-24,2021-12-24
27,-24.550379899998006,1,2022-01-04,2022-01-04
28,-26.23505959999966,2,2022-02-09,2022-02-11
29,-6.204264400001193,2,2022-02-21,2022-02-22
30,37.1940007000012,1,2022-03-03,2022-03-03
31,-113.48382459999448,5,2022-03-23,2022-04-11
32,-138.38428329999806,2,2022-04-28,2022-04-29
33,61.0222104500026,1,2022-05-18,2022-05-18
34,-38.62489004999952,1,2022-05-26,2022-05-26
35,-39.04898504999801,1,2022-06-06,2022-06-06
36,-98.85127489999468,4,2022-06-20,2022-06-29
37,-110.11257524999746,2,2022-07-27,2022-08-02
38,-109.34191514999839,1,2022-08-10,2022-08-10
39,-148.2336194499985,2,2022-08-19,2022-08-23
40,-19.05897994999941,1,2022-09-06,2022-09-06
41,-137.34302054999898,1,2022-09-28,2022-09-28
42,-104.05407524999646,2,2022-10-13,2022-10-18
43,-17.443379949998416,1,2022-11-09,2022-11-09
44,-28.01188484999875,2,2022-12-12,2022-12-19
45,-49.195450100000016,1,2023-01-16,2023-01-16
46,40.08304035000219,1,2023-02-21,2023-02-21
47,305.13713185000233,1,2023-07-14,2023-07-14
48,271.48106730000654,2,2023-09-07,2023-09-11
49,-159.53407034999873,1,2023-11-20,2023-11-20
50,-162.78656314999898,1,2023-11-29,2023-11-29
51,-32.1123624999982,1,2023-12-20,2023-12-20
52,30.486615300002086,1,2024-01-12,2024-01-12
53,211.22228655001163,2,2024-05-20,2024-05-21
54,-32.51711964999777,2,2024-07-02,2024-07-08
55,92.77673570000115,1,2024-07-23,2024-07-23
56,21.483830600005604,1,2024-08-26,2024-08-26
57,3.449305499998445,1,2024-09-10,2024-09-10
58,885.1190549500025,1,2024-10-15,2024-10-15
59,353.73000200000024,1,2024-11-20,2024-11-20
60,-43.206537499998376,1,2024-11-28,2024-11-28
61,-588.2334199999932,2,2024-12-06,2024-12-09
62,-31.347342449997086,1,2025-01-08,2025-01-08
63,-63.12555259999863,1,2025-02-13,2025-02-13
64,-346.4339560999979,3,2025-03-05,2025-03-17
65,38.87072790000093,1,2025-03-25,2025-03-25
66,-890.8784261999899,4,2025-04-22,2025-05-07
67,-38.95123749999402,1,2025-05-19,2025-05-19
68,955.9131657000034,2,2025-07-29,2025-08-05
69,1726.3913531299986,1,2025-09-12,2025-09-12
70,1880.4398499890085,1,2025-09-23,2025-09-23
71,476.5197543930044,1,2025-10-16,2025-10-16
72,1450.7394288660144,1,2025-10-27,2025-10-27
73,2585.190891195016,2,2025-11-06,2025-11-07
74,-127.10570495399588,1,2025-12-01,2025-12-01
75,-1014.940634156992,1,2025-12-18,2025-12-18
76,1390.895522133018,3,2026-01-12,2026-01-22
77,-786.0980170739931,1,2026-02-02,2026-02-02
78,-2621.601382031986,5,2026-03-11,2026-03-31
79,-209.82798204298888,1,2026-04-22,2026-04-22
80,-1585.9701491939632,3,2026-05-20,2026-05-25
81,3967.351122150023,4,2026-06-10,2026-06-25
82,2008.871319348007,2,2026-07-10,2026-07-15
83,-103.99514399998588,1,2026-07-28,2026-07-28
84,343.1728740310209,1,2026-08-17,2026-08-17
85,683.6295516080136,2,2026-08-27,2026-09-01
