rule,path,bp,period,n,wins,win,cash,mean,worst,mdd,top3,bottom3,mean_pct,delayed,missing_windows,unfinished,unknown_signal
S1_clv_ge_0p8__AND__S1_r3_le_m4,open,5,discovery,10,3,30.0,-227.6415662499808,-22.76415662499808,-264.9490621999987,-694.4131441999889,466.7715779500082,-599.9876047999962,-0.2217061703765774,0,0,0,2
S1_clv_ge_0p8__AND__S1_r3_le_m4,open,5,later,16,12,75.0,8245.991540292063,515.374471268254,-720.0980170739907,-720.0980170739904,5693.157561789025,-1074.9618709239858,0.9876686338449115,0,0,0,1
S1_clv_ge_0p8__AND__S1_r3_le_m4,open,5,main,26,15,57.692307692307686,8018.349974042084,308.39807592469555,-720.0980170739907,-720.0980170739904,5693.157561789025,-1232.6283463739885,0.5225244783751082,0,0,0,3
S1_clv_ge_0p8__AND__S1_r3_le_m4,fixed_0940,5,discovery,10,6,60.0,-247.6462635999848,-24.76462635999848,-565.0409925999995,-754.705312999993,570.1303842000065,-967.5141207999968,-0.1892616702365762,0,0,0,2
S1_clv_ge_0p8__AND__S1_r3_le_m4,fixed_0940,5,later,16,12,75.0,6965.173463298061,435.3233414561288,-549.9882867149915,-549.9882867149918,4370.249125098018,-1119.5032941149875,0.90415917548088,0,0,0,1
S1_clv_ge_0p8__AND__S1_r3_le_m4,fixed_0940,5,main,26,18,69.23076923076923,6717.527199698076,258.36643075761833,-565.0409925999995,-754.705312999993,4370.249125098018,-1452.4718457649888,0.4836126963587815,0,0,0,3
S1_clv_ge_0p8__AND__S1_r3_le_m4,fixed_1000,5,discovery,10,5,50.0,542.7594417500102,54.275944175001015,-167.53966629999803,-167.53966629999803,843.9433718500032,-294.5710766999939,0.2973621700389183,0,0,0,2
S1_clv_ge_0p8__AND__S1_r3_le_m4,fixed_1000,5,later,16,7,43.75,4633.677639969049,289.60485249806555,-1094.547354245986,-1742.6389675589835,6039.038529128016,-2529.0928006099875,0.6800809400655444,0,0,0,1
S1_clv_ge_0p8__AND__S1_r3_le_m4,fixed_1000,5,main,26,12,46.15384615384615,5176.437081719059,199.09373391227152,-1094.547354245986,-1742.6389675589835,6039.038529128016,-2529.0928006099875,0.5328814131322267,0,0,0,3
S1_clv_ge_0p8__AND__S1_r3_le_m4,fixed_1030,5,discovery,10,5,50.0,472.7208399500177,47.272083995001765,-157.53446619999883,-166.34574579999563,718.2284402500051,-369.8680024999945,0.2406103980447214,0,0,0,2
