candidate,date,clock,five_ref,one_ref,difference,covered
H00,2020-01-17,14:50,19.09,,,False
H00,2020-03-02,14:50,17.45,,,False
H00,2020-03-12,14:50,16.09,,,False
H00,2020-04-16,14:50,14.04,,,False
H00,2020-04-20,14:50,14.44,,,False
H00,2020-04-24,14:50,13.94,,,False
H00,2020-05-21,14:50,13.6,,,False
H00,2020-05-28,14:50,13.45,,,False
H00,2020-06-02,14:50,14.14,,,False
H00,2020-06-18,14:50,14.38,,,False
H00,2020-07-22,14:50,15.35,,,False
H00,2020-07-23,14:50,14.94,,,False
H00,2020-07-31,14:50,14.6,,,False
H00,2020-08-31,14:50,14.72,,,False
H00,2020-09-01,14:50,14.62,,,False
H00,2020-09-03,14:50,14.51,,,False
H00,2020-09-10,14:50,13.59,,,False
H00,2020-09-15,14:50,13.73,,,False
H00,2020-09-16,14:50,13.6,,,False
H00,2020-09-22,14:50,13.54,,,False
H00,2020-10-22,14:50,13.68,,,False
H00,2020-10-26,14:50,13.67,,,False
H00,2020-10-29,14:50,13.99,,,False
H00,2020-11-17,14:50,14.17,,,False
H00,2020-12-03,14:50,13.89,,,False
H00,2020-12-16,14:50,13.56,,,False
H00,2020-12-21,14:50,13.62,,,False
H00,2020-12-29,14:50,13.51,,,False
H00,2021-02-08,14:50,13.24,,,False
H00,2021-02-18,14:50,13.96,,,False
H00,2021-02-19,14:50,14.19,,,False
H00,2021-02-23,14:50,13.76,,,False
H00,2021-02-26,14:50,13.81,,,False
H00,2021-03-05,14:50,13.75,,,False
H00,2021-03-09,14:50,13.9,,,False
H00,2021-03-18,14:50,13.5,,,False
H00,2021-03-19,14:50,13.5,,,False
H00,2021-04-23,14:50,14.16,,,False
H00,2021-04-29,14:50,14.69,,,False
H00,2021-05-14,14:50,13.46,,,False
H00,2021-05-20,14:50,13.2,,,False
H00,2021-06-02,14:50,12.23,,,False
H00,2021-06-03,14:50,12.26,,,False
H00,2021-06-21,14:50,12.35,,,False
H00,2021-06-28,14:50,12.58,,,False
H00,2021-07-07,14:50,12.13,,,False
H00,2021-07-08,14:50,12.02,,,False
H00,2021-07-21,14:50,11.77,,,False
H00,2021-07-22,14:50,11.73,,,False
H00,2021-08-12,14:50,11.74,,,False
H00,2021-09-03,14:50,12.0,,,False
H00,2021-10-15,14:50,11.73,,,False
H00,2021-10-21,14:50,11.46,,,False
H00,2021-10-26,14:50,11.44,,,False
H00,2021-11-02,14:50,11.37,,,False
H00,2021-12-07,14:50,11.33,,,False
H00,2021-12-27,14:50,12.05,,,False
H00,2022-01-05,14:50,12.14,,,False
H00,2022-02-10,14:50,11.4,,,False
H00,2022-02-14,14:50,11.22,,,False
H00,2022-02-22,14:50,11.26,,,False
H00,2022-02-23,14:50,11.33,,,False
H00,2022-03-04,14:50,11.12,,,False
H00,2022-03-24,14:50,10.37,,,False
H00,2022-03-30,14:50,10.17,,,False
H00,2022-04-01,14:50,10.2,,,False
H00,2022-04-07,14:50,10.08,,,False
H00,2022-04-12,14:50,10.04,,,False
H00,2022-04-29,14:50,9.52,,,False
H00,2022-05-05,14:50,9.55,,,False
H00,2022-05-19,14:50,9.34,,,False
H00,2022-05-27,14:50,9.21,,,False
H00,2022-06-07,14:50,9.4,,,False
H00,2022-06-21,14:50,9.71,,,False
H00,2022-06-27,14:50,9.76,,,False
H00,2022-06-28,14:50,9.89,,,False
H00,2022-06-30,14:50,9.82,,,False
H00,2022-07-28,14:50,10.09,,,False
H00,2022-08-03,14:50,9.74,,,False
H00,2022-08-11,14:50,9.79,,,False
H00,2022-08-22,14:50,9.49,,,False
H00,2022-08-24,14:50,9.36,,,False
H00,2022-09-07,14:50,9.37,,,False
H00,2022-09-29,14:50,8.41,,,False
H00,2022-10-14,14:50,8.45,,,False
H00,2022-10-19,14:50,8.42,,,False
H00,2022-11-10,14:50,8.64,,,False
H00,2022-12-13,14:50,9.44,,,False
H00,2022-12-20,14:50,9.3,,,False
H00,2023-01-17,14:50,9.51,,,False
H00,2023-02-22,14:50,9.76,,,False
H00,2023-07-17,14:50,25.79,,,False
H00,2023-09-08,14:50,19.06,,,False
H00,2023-09-12,14:50,19.28,,,False
H00,2023-11-21,14:50,16.01,,,False
H00,2023-11-30,14:50,15.08,,,False
H00,2023-12-21,14:50,14.57,,,False
H00,2024-01-15,14:50,12.71,,,False
H00,2024-05-21,14:50,25.56,,,False
H00,2024-05-22,14:50,25.35,,,False
H00,2024-07-03,14:50,27.31,,,False
H00,2024-07-09,14:50,28.99,,,False
H00,2024-07-24,14:50,24.21,,,False
H00,2024-08-27,14:50,19.74,,,False
H00,2024-09-11,14:50,18.76,,,False
H00,2024-10-16,14:50,23.56,,,False
H00,2024-11-21,14:50,23.42,,,False
H00,2024-11-29,14:50,22.18,,,False
H00,2024-12-09,14:50,22.09,,,False
H00,2024-12-10,14:50,22.17,,,False
H00,2025-01-09,14:50,20.55,,,False
H00,2025-02-14,14:50,22.14,,,False
H00,2025-03-06,14:50,21.32,,,False
H00,2025-03-12,14:50,20.9,,,False
H00,2025-03-18,14:50,21.52,,,False
H00,2025-03-26,14:50,20.4,,,False
H00,2025-04-23,14:50,18.25,,,False
H00,2025-04-24,14:50,17.91,,,False
H00,2025-05-06,14:50,18.73,,,False
H00,2025-05-08,14:50,19.02,,,False
H00,2025-05-20,14:50,19.05,,,False
H00,2025-07-30,14:50,33.07,,,False
H00,2025-08-06,14:50,34.14,,,False
H00,2025-09-15,14:50,59.75,,,False
H00,2025-09-24,14:50,68.81,,,False
H00,2025-10-17,14:50,60.04,,,False
H00,2025-10-28,14:50,73.98,,,False
H00,2025-11-07,14:50,72.59,,,False
H00,2025-11-10,14:50,71.5,,,False
H00,2025-12-02,14:50,60.95,,,False
H00,2025-12-19,14:50,58.3,,,False
