candidate,entry,expected_exit,old_exit,old_clock,new_clock,old_price,new_price,new_trigger,old_cash,new_cash,change,note
H00,2026-05-20,2026-05-21,2026-05-21,14:50,14:50,65.83,65.83000183105469,fixed,2199.4715141640095,2199.46968192742,-0.0018322365895073744,"same decision cadence, qualified 1m aggregated; paired opportunities, not whole history account"
H00,2026-05-21,2026-05-22,2026-05-22,14:50,14:50,67.21,67.20999908447266,fixed,-1828.384783316996,-1828.3838671987114,0.0009161182845218718,"same decision cadence, qualified 1m aggregated; paired opportunities, not whole history account"
H00,2026-05-25,2026-05-26,2026-05-26,14:50,14:50,70.04,70.04000091552734,fixed,134.2921579020163,134.2912417837156,-0.0009161183006938245,"same decision cadence, qualified 1m aggregated; paired opportunities, not whole history account"
H00,2026-06-10,2026-06-11,2026-06-11,14:50,14:50,69.19,69.19000244140625,fixed,1813.8903955379965,1813.8879525558812,-0.002442982115326231,"same decision cadence, qualified 1m aggregated; paired opportunities, not whole history account"
H00,2026-06-16,2026-06-17,2026-06-17,14:50,14:50,72.4,72.41000366210938,fixed,369.7916413500058,359.78152214983345,-10.010119200172369,"same decision cadence, qualified 1m aggregated; paired opportunities, not whole history account"
H00,2026-06-18,2026-06-22,2026-06-22,14:50,14:50,78.77,78.7699966430664,fixed,-830.2515201629884,-830.2481610625906,0.0033591003978017397,"same decision cadence, qualified 1m aggregated; paired opportunities, not whole history account"
H00,2026-06-25,2026-06-26,2026-06-26,14:50,14:50,70.76,70.76000213623047,fixed,6096.166850421015,6096.164712811655,-0.002137609360033821,"same decision cadence, qualified 1m aggregated; paired opportunities, not whole history account"
H00,2026-07-10,2026-07-13,2026-07-13,14:50,14:50,63.22,63.220001220703125,fixed,2933.308943235012,2933.3077217439454,-0.0012214910666443757,"same decision cadence, qualified 1m aggregated; paired opportunities, not whole history account"
H00,2026-07-15,2026-07-16,2026-07-16,14:50,14:50,62.57,62.56999969482422,fixed,936.7629553350062,936.763260707766,0.00030537275983988366,"same decision cadence, qualified 1m aggregated; paired opportunities, not whole history account"
H00,2026-07-28,2026-07-29,2026-07-29,14:50,14:50,57.8,57.79999923706055,fixed,176.1855883560122,176.1863517879173,0.0007634319050850991,"same decision cadence, qualified 1m aggregated; paired opportunities, not whole history account"
