candidate,bp,deposits,single_max,single_p95,peak_requirement,longest_deficit_days,minimum_old_shares
H00,5,1719.697702849884,2082.0077701500013,865.2659409413828,1719.697702849884,142,2000
H00,11,2905.628426270092,2115.5696943300027,954.6791557510874,2905.628426270092,142,2000
H00,20,4684.524511400008,2165.912580600001,1088.7989779655986,4684.524511400008,142,2000
H01,5,134.8814609000001,866.3836862519966,520.9841998499978,134.8814609000001,483,1000
H01,11,155.4212139800038,937.7900105544031,553.4301596700025,155.4212139800038,483,1000
H01,20,186.23084359999848,1044.899497008002,602.0990993999985,186.23084359999848,483,1000
H02,5,589.1102374998918,1633.135730957998,462.68868151049713,589.1102374998918,142,2000
H02,11,1786.231002500097,1695.7964273075995,497.47448340450416,1786.231002500097,142,2000
H02,20,3581.912149999989,1789.7874718319945,565.1604518836051,3581.912149999989,142,2000
H03,5,264.9490622000012,753.0980170739931,267.5812670999985,264.9490622000012,483,1000
H03,11,285.5668168400043,820.2693671628076,285.5668168400043,285.5668168400043,483,1000
H03,20,329.4942663999973,921.0263922960003,316.49344879999626,329.4942663999973,483,1000
