date,clock,side,quantity,reference,value,fee,tax,deposit,cash,shares,entry
2020-02-28,15:00,SELL,1000,17.08,17045.84,22.3867568,0.0,0.0,17023.4532432,2000,2020-02-28
2020-03-02,09:40,BUY,1000,17.17,17204.34,5.3440868,0.0,186.23084359999848,0.0,3000,2020-02-28
2020-03-31,15:00,SELL,1000,13.21,13183.58,18.4472516,0.0,0.0,13165.1327484,2000,2020-03-31
2020-04-01,09:30,BUY,1000,13.13,13156.26,5.2631252,0.0,0.0,3.6096231999999873,3000,2020-03-31
2020-07-21,15:00,SELL,1000,15.43,15399.14,20.7071228,0.0,0.0,15982.042500399999,2000,2020-07-21
2020-07-22,09:45,BUY,1000,15.35,15380.7,5.307614,0.0,0.0,596.0348863999989,3000,2020-07-21
2020-09-14,15:00,SELL,1000,13.85,13822.3,19.098746,20.0,0.0,14379.236140399998,2000,2020-09-14
2020-09-15,09:40,BUY,1000,13.74,13767.48,5.2753496,0.0,0.0,606.4807907999984,3000,2020-09-14
2020-11-04,15:00,SELL,1000,13.47,13443.06,18.7119212,20.0,0.0,14010.828869599998,2000,2020-11-04
2020-11-05,09:40,BUY,1000,13.7,13727.4,5.274548,0.0,0.0,278.1543215999991,3000,2020-11-04
2020-11-16,15:00,SELL,1000,14.28,14251.44,19.5364688,0.0,0.0,14510.057852799999,2000,2020-11-16
2020-11-17,09:40,BUY,1000,14.14,14168.28,5.2833656,0.0,0.0,336.4944871999978,3000,2020-11-16
2020-12-14,15:00,SELL,1000,13.54,13512.92,18.7831784,0.0,0.0,13830.631308799997,2000,2020-12-14
2020-12-15,09:30,BUY,1000,13.36,13386.72,5.2677344,0.0,0.0,438.6435743999973,3000,2020-12-14
2021-05-07,15:00,SELL,1000,13.45,13423.1,18.691562,0.0,0.0,13843.052012399998,2000,2021-05-07
2021-05-10,10:30,BUY,1000,13.54,13567.08,5.2713416,0.0,0.0,270.70067079999717,3000,2021-05-07
2021-05-26,15:00,SELL,1000,12.56,12534.88,17.7855776,0.0,0.0,12787.795093199997,2000,2021-05-26
2021-05-27,10:00,BUY,1000,12.5,12525.0,5.2505,0.0,0.0,257.5445931999966,3000,2021-05-26
2022-09-22,15:00,SELL,1000,8.68,8662.64,13.7492664,0.0,0.0,11156.435326799996,2000,2022-09-22
2022-09-23,10:30,BUY,1000,8.65,8667.3,5.086673,0.0,0.0,2484.048653799997,3000,2022-09-22
2023-03-31,15:00,SELL,1000,17.22,17185.56,22.357415600000003,0.0,0.0,19647.2512382,2000,2023-03-31
2023-04-03,09:30,BUY,1000,17.09,17124.18,5.1712418,0.0,0.0,2517.8999963999995,3000,2023-03-31
2023-05-09,15:00,SELL,1000,14.7,14670.6,19.817306000000002,0.0,0.0,17168.682690399997,2000,2023-05-09
2023-05-10,09:40,BUY,1000,14.89,14919.78,5.1491978,0.0,0.0,2243.753492599997,3000,2023-05-09
2023-06-29,15:00,SELL,1000,23.8,23752.4,28.989924000000002,0.0,0.0,25967.163568599997,2000,2023-06-29
2023-06-30,09:30,BUY,1000,23.55,23597.1,5.235971,0.0,0.0,2364.8275976000004,3000,2023-06-29
2023-09-07,15:00,SELL,1000,19.2,19161.6,14.772416,55.0,0.0,23106.6551816,2000,2023-09-07
2023-09-08,09:30,BUY,1000,19.01,19048.02,5.1904802,0.0,0.0,4053.4447013999998,3000,2023-09-07
2023-09-11,15:00,SELL,1000,19.46,19421.08,14.904750800000002,55.0,0.0,23404.6199506,2000,2023-09-11
2023-09-12,09:30,BUY,1000,19.19,19228.38,5.1922838,0.0,0.0,4171.047666800001,3000,2023-09-11
2023-10-19,15:00,SELL,1000,16.53,16496.94,13.4134394,55.0,0.0,20599.5742274,2000,2023-10-19
2023-10-20,09:45,BUY,1000,16.4,16432.8,5.164328,0.0,0.0,4161.609899400002,3000,2023-10-19
2023-10-27,15:00,SELL,1000,14.07,14041.86,12.1613486,0.0,0.0,18191.3085508,2000,2023-10-27
2023-10-30,09:50,BUY,1000,14.21,14238.42,5.1423842,0.0,0.0,3947.7461666,3000,2023-10-27
2024-03-18,15:00,SELL,1000,25.01,24959.98,17.7295898,0.0,0.0,28889.996576799997,2000,2024-03-18
2024-03-19,09:30,BUY,1000,24.4,24448.8,5.244488,0.0,0.0,4435.952088799997,3000,2024-03-18
2024-04-23,15:00,SELL,1000,20.59,20548.82,15.479898200000001,0.0,0.0,24969.292190599997,2000,2024-04-23
2024-04-24,09:40,BUY,1000,21.38,21422.76,5.2142276,0.0,0.0,3541.3179629999977,3000,2024-04-23
2024-06-27,15:00,SELL,1000,26.81,26756.38,18.6457538,0.0,0.0,30279.0522092,2000,2024-06-27
2024-06-28,09:40,BUY,1000,27.28,27334.56,5.2733456,0.0,0.0,2939.218863599999,3000,2024-06-27
2024-07-17,15:00,SELL,1000,25.95,25898.1,18.208031,0.0,0.0,28819.1108326,2000,2024-07-17
2024-07-18,09:30,BUY,1000,24.82,24869.64,5.2486964,0.0,0.0,3944.222136199998,3000,2024-07-17
2024-07-19,15:00,SELL,1000,24.66,24610.68,17.5514468,0.0,0.0,28537.3506894,2000,2024-07-19
2024-07-22,09:30,BUY,1000,24.49,24538.98,5.2453898,0.0,0.0,3993.1252996000003,3000,2024-07-19
2024-07-23,15:00,SELL,1000,24.54,24490.92,17.4903692,0.0,0.0,28466.554930399998,2000,2024-07-23
2024-07-24,09:30,BUY,1000,24.4,24448.8,5.244488,0.0,0.0,4012.5104423999983,3000,2024-07-23
2024-07-29,15:00,SELL,1000,23.8,23752.4,17.113724,0.0,0.0,27747.7967184,2000,2024-07-29
2024-07-30,09:30,BUY,1000,23.49,23536.98,5.2353698,0.0,0.0,4205.581348600001,3000,2024-07-29
2024-08-30,15:00,SELL,1000,20.47,20429.06,15.418820600000002,58.0,0.0,26301.222528000002,2000,2024-08-30
2024-09-02,09:40,BUY,1000,19.87,19909.74,5.1990974,0.0,0.0,6386.2834306,3000,2024-08-30
2024-09-05,15:00,SELL,1000,18.88,18842.24,14.609542400000002,58.0,0.0,25155.9138882,2000,2024-09-05
2024-09-06,09:45,BUY,1000,18.77,18807.54,5.1880754,0.0,0.0,6343.1858127999985,3000,2024-09-05
2024-11-20,15:00,SELL,1000,24.0,23952.0,17.21552,58.0,0.0,30219.970292799997,2000,2024-11-20
2024-11-21,09:30,BUY,1000,23.6,23647.2,5.236472,0.0,0.0,6567.533820799996,3000,2024-11-20
2025-02-07,15:00,SELL,1000,21.55,21506.9,15.968519000000002,0.0,0.0,28058.4653018,2000,2025-02-07
