candidate,bp,period,n,wins,win,cash,mean,worst,mdd,top3,bottom3,mean_pct,ci_low,ci_high
H00,5,discovery,97,40,41.23711340206185,-1889.3294217998573,-19.47762290515317,-727.9008017999986,-3377.2966825498806,2171.0904960500084,-1631.6944749999948,-0.22049206704190488,-6059.88254429113,2696.138813267668
H00,5,later,57,33,57.89473684210527,24941.65035625628,437.572813267654,-2082.0077701500013,-4184.301370699966,13030.46454890701,-5848.752365366996,0.5078246518012131,1804.6286829787787,51611.25481739261
H00,5,main,154,73,47.4025974025974,23052.320934456417,149.6903956782884,-2082.0077701500013,-5015.647171149798,13030.46454890701,-5848.752365366996,0.04907970551691155,-738.6786894532909,50634.942764319516
H00,5,2020,28,12,42.857142857142854,-1213.6984704999522,-43.346373946426866,-727.9008017999986,-1717.1078408999729,1047.1893169000032,-1631.6944749999948,-0.2767227413238288,,
H00,5,2021,29,12,41.37931034482759,-928.4964480999588,-32.01711889999858,-309.09412750000047,-928.4964480999588,440.96985050000694,-815.7303017999948,-0.24445705321711805,,
H00,5,2022,32,11,34.375,-1140.809102499963,-35.650284453123845,-299.4388160999988,-1235.1017639499696,369.68553800000336,-629.380862449998,-0.3614147396108609,,
H00,5,2023,8,5,62.5,1393.6745993000168,174.2093249125021,-162.78656314999898,-214.90912574999857,1581.324143850008,-254.0994757999979,0.6268790581058012,,
H00,5,2024,13,8,61.53846153846154,974.3311536500314,74.94855028077164,-2082.0077701500013,-2083.5626299000032,2079.4551164000113,-2539.035076999993,0.3957123399362597,,
H00,5,2025,21,9,42.857142857142854,5811.170668817082,276.7224128008134,-1938.3598118999944,-4139.337260899974,8910.850419791,-4537.256340971966,-0.1003214674057305,,
H00,5,2026,23,16,69.56521739130434,18156.148533789165,789.3977623386593,-1828.3847833170003,-3405.3690912839593,11495.803464903023,-4893.524442692986,1.1264563282181788,,
H00,11,discovery,97,37,38.144329896907216,-3351.836407960105,-34.55501451505263,-750.3897639600036,-4640.166936530099,2101.5380113099927,-1691.940805000011,-0.34036734487071496,-7569.795481986606,1170.0536738386297
H00,11,later,57,32,56.14035087719298,21875.96824136294,383.7889165151393,-2115.5696943300027,-4758.813101550044,12778.41675879537,-6000.467443007412,0.3882901002647888,-642.9922265405203,48014.527110066316
H00,11,main,154,69,44.8051948051948,18524.131833402836,120.28657034677167,-2115.5696943300027,-7135.560056530161,12778.41675879537,-6000.467443007412,-0.07066945933354801,-4817.437293195565,45436.1072486207
H00,11,2020,28,12,42.857142857142854,-1698.1181551000445,-60.64707696785873,-750.3897639600036,-1968.6043699800248,992.9588171799969,-1691.940805000011,-0.3966560068199498,,
H00,11,2021,29,10,34.48275862068966,-1371.5607458200284,-47.295198131725115,-323.3370804999995,-1371.5607458200284,394.65519109999514,-863.4066639600005,-0.36436084613473796,,
H00,11,2022,32,10,31.25,-1519.897385500024,-47.49679329687575,-311.04907542,-1549.8139932700233,334.13546359999964,-664.7932973899988,-0.4813394072776146,,
H00,11,2023,8,5,62.5,1237.7398784599918,154.71748480749898,-180.8000789300022,-250.39027665000322,1514.4942764699936,-300.9809267600049,0.5075076636612883,,
H00,11,2024,13,8,61.53846153846154,618.1224980299558,47.54788446384275,-2115.5696943300027,-2149.9183457800027,1991.061576079992,-2625.5818094000097,0.27613637466044805,,
