entry_i,entry,sell_ref,exit_i,exit,buy_ref,buy_clock,kind,trigger,missing_windows,delayed,sale_net,buy_cost,dividend_tax,missed_dividend,cash_increment,net_pct
393,2020-01-16,18.41,394,2020-01-17,19.09,14:50,fixed_or_trigger_next_interval,fixed,0,False,18365.99145602,19116.381219980005,0.0,0.0,-750.3897639600036,-4.075990026941899
418,2020-02-28,17.08,419,2020-03-02,17.45,14:50,fixed_or_trigger_next_interval,fixed,0,False,17038.809563759998,17474.544383900004,0.0,0.0,-435.73482014000547,-2.551140633138205
426,2020-03-11,16.54,427,2020-03-12,16.09,14:50,fixed_or_trigger_next_interval,fixed,0,False,16499.95375788,16113.021153980002,0.0,0.0,386.93260389999887,2.3393748724304646
450,2020-04-15,13.87,451,2020-04-16,14.04,14:50,fixed_or_trigger_next_interval,fixed,0,False,13835.61116214,14060.725108880002,0.0,0.0,-225.11394674000258,-1.623027734246594
452,2020-04-17,13.99,453,2020-04-20,14.44,14:50,fixed_or_trigger_next_interval,fixed,0,False,13955.35689678,14461.173117680002,0.0,0.0,-505.816220900002,-3.6155555461043747
456,2020-04-23,13.96,457,2020-04-24,13.94,14:50,fixed_or_trigger_next_interval,fixed,0,False,13925.420463120001,13960.61310668,0.0,0.0,-35.19264355999985,-0.2520963005730648
472,2020-05-20,13.85,473,2020-05-21,13.6,14:50,fixed_or_trigger_next_interval,fixed,0,False,13815.653539699999,13620.2322992,0.0,0.0,195.42124049999802,1.4109836859205633
477,2020-05-27,13.48,478,2020-05-28,13.45,14:50,fixed_or_trigger_next_interval,fixed,0,False,13446.43752456,13470.064295900002,0.0,0.0,-23.62677134000114,-0.17527278442137345
480,2020-06-01,13.88,481,2020-06-02,14.14,14:50,fixed_or_trigger_next_interval,fixed,0,False,13845.58997336,14160.837111080002,0.0,0.0,-315.2471377200018,-2.2712329806916554
492,2020-06-17,14.25,493,2020-06-18,14.38,14:50,fixed_or_trigger_next_interval,fixed,0,False,14214.8059885,14401.10591636,0.0,0.0,-186.29992786000003,-1.3073679148070176
514,2020-07-21,15.43,515,2020-07-22,15.35,14:50,fixed_or_trigger_next_interval,fixed,0,False,15372.30571246,15372.192337700002,20.0,0.0,0.11337475999789604,0.0007347683732851331
515,2020-07-22,15.36,516,2020-07-23,14.94,14:50,fixed_or_trigger_next_interval,fixed,0,False,15302.45403392,14961.733128680002,20.0,0.0,340.7209052399976,2.218235060156234
521,2020-07-30,14.29,522,2020-07-31,14.6,14:50,fixed_or_trigger_next_interval,fixed,0,False,14234.721233380002,14621.352321200002,20.0,0.0,-386.6310878200002,-2.705605932960113
542,2020-08-28,14.75,543,2020-08-31,14.72,14:50,fixed_or_trigger_next_interval,fixed,0,False,14713.7465495,14741.48672384,0.0,0.0,-27.74017434000052,-0.18806897857627472
543,2020-08-31,14.74,544,2020-09-01,14.62,14:50,fixed_or_trigger_next_interval,fixed,0,False,14703.76773828,14641.374721640002,0.0,0.0,62.39301663999686,0.4232904792401415
545,2020-09-02,14.77,546,2020-09-03,14.51,14:50,fixed_or_trigger_next_interval,fixed,0,False,14733.70417194,14531.25151922,0.0,0.0,202.4526527199996,1.3707017787406879
550,2020-09-09,13.91,551,2020-09-10,13.59,14:50,fixed_or_trigger_next_interval,fixed,0,False,13875.526407020001,13610.22109898,0.0,0.0,265.30530804000045,1.9072991232207077
553,2020-09-14,13.85,554,2020-09-15,13.73,14:50,fixed_or_trigger_next_interval,fixed,0,False,13815.653539699999,13750.377902060001,0.0,0.0,65.27563763999751,0.47130424288806866
554,2020-09-15,13.73,555,2020-09-16,13.6,14:50,fixed_or_trigger_next_interval,fixed,0,False,13695.90780506,13620.2322992,0.0,0.0,75.67550585999925,0.5511690157319683
558,2020-09-21,13.74,559,2020-09-22,13.54,14:50,fixed_or_trigger_next_interval,fixed,0,False,13705.88661628,13560.165097880003,0.0,0.0,145.72151839999788,1.06056418049489
574,2020-10-21,13.64,575,2020-10-22,13.68,14:50,fixed_or_trigger_next_interval,fixed,0,False,13606.09850408,13700.321900960002,0.0,0.0,-94.22339688000102,-0.6907873671554327
576,2020-10-23,13.59,577,2020-10-26,13.67,14:50,fixed_or_trigger_next_interval,fixed,0,False,13556.204447979999,13690.310700740001,0.0,0.0,-134.10625276000246,-0.9868009768947937
579,2020-10-28,13.94,580,2020-10-29,13.99,14:50,fixed_or_trigger_next_interval,fixed,0,False,13905.462840679998,14010.66910778,0.0,0.0,-105.20626710000215,-0.7547077984218232
592,2020-11-16,14.28,593,2020-11-17,14.17,14:50,fixed_or_trigger_next_interval,fixed,0,False,14244.74242216,14190.87071174,0.0,0.0,53.871710419998635,0.3772528740896263
604,2020-12-02,14.05,605,2020-12-03,13.89,14:50,fixed_or_trigger_next_interval,fixed,0,False,14015.2297641,13910.557105580003,0.0,0.0,104.67265851999764,0.745001128256211
613,2020-12-15,13.56,614,2020-12-16,13.56,14:50,fixed_or_trigger_next_interval,fixed,0,False,13526.268014320001,13580.187498320001,0.0,0.0,-53.91948400000001,-0.3976363126843659
616,2020-12-18,13.65,617,2020-12-21,13.62,14:50,fixed_or_trigger_next_interval,fixed,0,False,13616.077315300001,13640.254699640001,0.0,0.0,-24.17738434000057,-0.17712369479853898
622,2020-12-28,13.27,623,2020-12-29,13.51,14:50,fixed_or_trigger_next_interval,fixed,0,False,13236.88248894,13530.131497220002,0.0,0.0,-293.24900828000136,-2.2098644180859184
650,2021-02-05,13.21,651,2021-02-08,13.24,14:50,fixed_or_trigger_next_interval,fixed,0,False,13177.009621620002,13259.829091280002,0.0,0.0,-82.81946966000032,-0.626945266162001
653,2021-02-10,14.04,654,2021-02-18,13.96,14:50,fixed_or_trigger_next_interval,fixed,0,False,14005.25095288,13980.635507120001,0.0,0.0,24.615445759998693,0.17532368774927845
654,2021-02-18,13.96,655,2021-02-19,14.19,14:50,fixed_or_trigger_next_interval,fixed,0,False,13925.420463120001,14210.893112180001,0.0,0.0,-285.47264906000055,-2.0449330161891157
656,2021-02-22,13.97,657,2021-02-23,13.76,14:50,fixed_or_trigger_next_interval,fixed,0,False,13935.39927434,13780.411502720002,0.0,0.0,154.98777161999715,1.109432867716515
659,2021-02-25,13.92,660,2021-02-26,13.81,14:50,fixed_or_trigger_next_interval,fixed,0,False,13885.50521824,13830.46750382,0.0,0.0,55.03771441999925,0.3953858794540176
664,2021-03-04,13.63,665,2021-03-05,13.75,14:50,fixed_or_trigger_next_interval,fixed,0,False,13596.11969286,13770.400302500002,0.0,0.0,-174.28060964000179,-1.27865450946443
