candidate,quality,n,wins,win,cash,mean,worst,mdd,top3,bottom3,mean_pct
C00,both_days_strict,66,37,56.060606060606055,2777.0871929291443,42.07707868074461,-2130.5506104499964,-10020.114270799924,6597.195131554014,-6076.044124699994,
C00,other_or_unknown,125,59,47.199999999999996,4721.3364889397235,37.77069191151779,-6936.87200885998,-26319.29726231766,15198.580358847044,-17416.885596580978,
C01,both_days_strict,45,11,24.444444444444443,-5142.412069392933,-114.2758237642874,-2270.3891674429833,-6256.802852692936,1062.885971900003,-3574.3610510429808,
C01,other_or_unknown,71,33,46.478873239436616,-5782.6959873787455,-81.44642235744712,-3148.3002817349916,-13035.319300860829,7064.521425263016,-8113.616640154971,
C02,both_days_strict,37,22,59.45945945945946,-477.8211987499353,-12.914086452700955,-592.7944527499985,-2658.881697649952,2284.036470600011,-1693.6212652499908,
C02,other_or_unknown,69,37,53.62318840579711,-2934.3011161667255,-42.52610313285109,-3148.3002817349916,-5093.592294316757,6921.479521855012,-7053.90764590897,
C03,both_days_strict,45,22,48.888888888888886,-4942.313169942923,-109.82918155428719,-2270.3891674429833,-5488.772727942933,634.0780613500083,-3574.3610510429808,
C03,other_or_unknown,71,39,54.929577464788736,-4201.722199530735,-59.179185908883596,-3148.3002817349916,-10308.388210962858,5461.761581624012,-8113.616640154971,
C04,both_days_strict,45,21,46.666666666666664,-4742.203465092929,-105.38229922428731,-2270.3891674429833,-5448.7462246929335,710.0205733000003,-3574.3610510429808,
C04,other_or_unknown,71,33,46.478873239436616,-5362.447918353751,-75.52743546977115,-3148.3002817349916,-12680.78781227183,7064.521425263016,-8113.616640154971,
C05,both_days_strict,99,50,50.505050505050505,2761.0202383131436,27.88909331629438,-731.3184168999978,-3886.851840449899,4893.709177132008,-1928.9072799499954,
C05,other_or_unknown,74,35,47.2972972972973,-11906.214168839708,-160.89478606540146,-3677.6093028119794,-18173.427603716846,7255.263597609031,-8573.934345712976,
C06,both_days_strict,208,67,32.21153846153847,-2779.8142931576986,-13.364491794027398,-635.4603979499989,-7952.917356399772,3630.0501056730136,-1626.8530625000021,
C06,other_or_unknown,132,63,47.72727272727273,4541.187059960543,34.40293227242835,-4265.148596750994,-7423.771248005854,7048.198211661045,-8915.80764630099,
C07,both_days_strict,942,300,31.84713375796178,-35285.158955423525,-37.457705897477204,-4348.957669793992,-39019.22926862359,5286.000602639015,-7043.248130408996,
C07,other_or_unknown,675,322,47.7037037037037,-2794.9518601945583,-4.140669422510457,-4265.148596750994,-16607.17103740148,12285.065606382006,-11590.347838193986,
C08,both_days_strict,175,56,32.0,-1984.1979564307385,-11.338274036747077,-635.4603979499989,-6529.708722949801,3630.0501056730136,-1626.8530625000021,
C08,other_or_unknown,111,58,52.25225225225225,11998.605213876464,108.09554246735553,-1932.5882208599942,-7792.485614573867,7009.81697898003,-4955.254447373984,
