entry_i,entry,sell_ref,exit_i,exit,buy_ref,buy_clock,kind,trigger,missing_windows,delayed,sale_net,buy_cost,dividend_tax,missed_dividend,cash_increment,net_pct
418,2020-02-28,17.08,419,2020-03-02,17.17,09:40,fixed_or_trigger_next_interval,stop_close,0,False,17023.4532432,17209.6840868,0.0,0.0,-186.23084359999848,-1.090344517564394
420,2020-03-03,17.44,421,2020-03-04,17.23,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,17382.3667776,17269.805289199998,0.0,0.0,112.56148840000242,0.6454213784403808
429,2020-03-16,14.3,430,2020-03-17,14.15,09:45,fixed_or_trigger_next_interval,target_close,0,False,14251.843171999999,14183.583566,0.0,0.0,68.25960599999962,0.47733990209789945
431,2020-03-18,13.56,432,2020-03-19,13.52,09:55,fixed_or_trigger_next_interval,target_close,0,False,13514.076462399998,13552.3109408,0.0,0.0,-38.234478400001535,-0.2819651799410143
434,2020-03-23,12.52,435,2020-03-24,12.81,09:40,fixed_or_trigger_next_interval,stop_close,0,False,12477.215140799999,12840.8767124,0.0,0.0,-363.6615716000015,-2.9046451405750915
468,2020-05-14,13.69,469,2020-05-15,13.62,10:25,fixed_or_trigger_next_interval,target_close,0,False,13643.684127600001,13652.512944799999,0.0,0.0,-8.828817199997502,-0.06449099488676042
511,2020-07-16,14.87,512,2020-07-17,15.02,09:45,fixed_or_trigger_next_interval,stop_close,0,False,14800.1229348,15055.341000800001,20.0,0.0,-255.21806600000127,-1.7163286213853481
517,2020-07-24,14.16,518,2020-07-27,14.1,09:50,fixed_or_trigger_next_interval,target_close,0,False,14092.2656864,14133.482564,20.0,0.0,-41.21687759999986,-0.29107964406779563
644,2021-01-28,14.21,645,2021-01-29,14.14,10:30,fixed_or_trigger_next_interval,deadline,0,False,14142.1147884,14173.5633656,20.0,0.0,-31.448577200000727,-0.22131299929627535
647,2021-02-02,13.7,648,2021-02-03,13.57,09:40,fixed_or_trigger_next_interval,target_close,0,False,13653.653948000001,13602.4119428,0.0,0.0,51.242005200001586,0.3740292350365079
648,2021-02-03,13.27,649,2021-02-04,13.2,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,13224.9516708,13231.664528,0.0,0.0,-6.712857200000144,-0.050586715900528594
704,2021-04-30,13.76,705,2021-05-06,13.61,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,13713.472870399999,13642.492744399999,0.0,0.0,70.98012600000038,0.5158439389534911
706,2021-05-07,13.45,707,2021-05-10,13.54,10:30,fixed_or_trigger_next_interval,deadline,0,False,13404.408438,13572.3513416,0.0,0.0,-167.94290360000014,-1.2486461234200754
717,2021-05-24,12.55,718,2021-05-25,12.46,09:40,fixed_or_trigger_next_interval,target_close,0,False,12507.124602,12490.169698400001,0.0,0.0,16.954903599998943,0.13509883346612703
755,2021-07-16,11.49,756,2021-07-19,11.42,10:05,fixed_or_trigger_next_interval,target_close,0,False,11450.323639600001,11448.0688568,0.0,0.0,2.254782800000612,0.019623871192346494
763,2021-07-28,11.0,764,2021-07-29,11.1,10:20,fixed_or_trigger_next_interval,stop_close,0,False,10936.80244,11127.422444000002,25.0,0.0,-190.62000400000215,-1.7329091272727468
786,2021-08-30,11.51,787,2021-08-31,11.42,10:15,fixed_or_trigger_next_interval,target_close,0,False,11445.2632804,11448.0688568,25.0,0.0,-2.8055764000000636,-0.024375120764553115
843,2021-11-26,11.17,844,2021-11-29,11.09,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,11106.2893868,11117.4022436,25.0,0.0,-11.112856800000372,-0.09948842256043305
844,2021-11-29,10.98,845,2021-11-30,11.05,09:55,fixed_or_trigger_next_interval,stop_close,0,False,10941.8627992,11077.321442,0.0,0.0,-135.45864280000023,-1.2336852714025521
909,2022-03-08,10.6,910,2022-03-09,10.6,10:30,fixed_or_trigger_next_interval,deadline,0,False,10563.009623999998,10626.412424,0.0,0.0,-63.40280000000166,-0.5981396226415251
911,2022-03-10,10.35,912,2022-03-11,10.23,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,10313.764114,10255.6650092,0.0,0.0,58.09910479999962,0.5613440077294649
914,2022-03-15,9.75,915,2022-03-16,9.71,09:50,fixed_or_trigger_next_interval,target_close,0,False,9715.57489,9734.6145884,0.0,0.0,-19.039698399999907,-0.195278957948717
941,2022-04-25,9.11,942,2022-04-26,9.24,10:25,fixed_or_trigger_next_interval,stop_close,0,False,9077.506384400001,9263.665169599999,0.0,0.0,-186.1587851999975,-2.0434553809000824
1041,2022-09-19,8.89,1042,2022-09-20,8.81,10:10,fixed_or_trigger_next_interval,target_close,0,False,8808.2590578,8832.708276200001,50.0,0.0,-24.449218400000973,-0.275019329583813
1042,2022-09-20,8.74,1043,2022-09-21,8.61,09:40,fixed_or_trigger_next_interval,target_close,0,False,8658.7102548,8632.3062722,50.0,0.0,26.403982600000745,0.30210506407323506
1051,2022-10-10,8.16,1052,2022-10-11,8.2,10:30,fixed_or_trigger_next_interval,deadline,0,False,8080.4548832,8221.482164,50.0,0.0,-141.02728079999906,-1.7282754999999885
1187,2023-04-27,16.1,1188,2023-04-28,16.65,09:40,fixed_or_trigger_next_interval,stop_close,0,False,16046.571522,16688.466833,0.0,0.0,-641.8953109999984,-3.9869273975155175
1202,2023-05-23,15.23,1203,2023-05-24,15.14,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,15179.188464600002,15175.4317028,0.0,0.0,3.756761800001186,0.024666853578471346
1224,2023-06-26,23.09,1225,2023-06-27,23.25,09:55,fixed_or_trigger_next_interval,target_close,0,False,23015.5457418,23301.732965,0.0,0.0,-286.1872231999987,-1.239442283239492
1236,2023-07-12,22.53,1237,2023-07-13,23.05,09:40,fixed_or_trigger_next_interval,stop_close,0,False,22457.2302106,23101.330961,0.0,0.0,-644.1007504000008,-2.8588581908566395
1241,2023-07-19,25.09,1242,2023-07-20,24.9,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,25009.5297818,24955.049498,0.0,0.0,54.4802837999996,0.2171394332403332
1242,2023-07-20,23.25,1243,2023-07-21,23.04,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,23175.064465,23091.3108608,0.0,0.0,83.75360419999924,0.3602305556989215
1256,2023-08-09,22.25,1257,2023-08-10,21.99,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,22068.072445,22039.200339799998,110.0,0.0,28.872105200003716,0.12976227056181444
1258,2023-08-11,21.5,1259,2023-08-14,21.09,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,21320.32843,21137.3913218,110.0,0.0,182.93710819999978,0.8508702706976734
1263,2023-08-18,20.1,1264,2023-08-21,20.46,09:45,fixed_or_trigger_next_interval,stop_close,0,False,19924.539602,20506.125009199997,110.0,0.0,-581.5854071999966,-2.8934597373134157
1268,2023-08-25,20.32,1269,2023-08-28,20.7,09:40,fixed_or_trigger_next_interval,stop_close,0,False,20253.8778464,20746.607414000002,0.0,0.0,-492.72956760000307,-2.4248502342519838
1275,2023-09-05,20.31,1276,2023-09-06,20.08,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,20254.0426162,20125.3612016,0.0,0.0,128.6814145999997,0.6335864825209242
1277,2023-09-07,19.2,1278,2023-09-08,19.01,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,19146.827584,19053.2104802,0.0,0.0,93.61710379999931,0.4875890822916631
1282,2023-09-14,18.59,1283,2023-09-15,18.54,09:50,fixed_or_trigger_next_interval,target_close,0,False,18538.3580618,18582.2657708,0.0,0.0,-43.90770899999916,-0.2361899354491617
1283,2023-09-15,18.13,1284,2023-09-18,18.46,09:40,fixed_or_trigger_next_interval,stop_close,0,False,18079.512192600003,18502.104969199998,0.0,0.0,-422.592776599995,-2.330903345835604
1297,2023-10-13,17.88,1298,2023-10-16,17.69,09:40,fixed_or_trigger_next_interval,target_close,0,False,17830.139437600003,17730.5572538,0.0,0.0,99.58218380000108,0.5569473366890441
1298,2023-10-16,17.42,1299,2023-10-17,17.32,09:55,fixed_or_trigger_next_interval,target_close,0,False,17371.2935684,17359.8135464,0.0,0.0,11.480021999999735,0.0659013892078056
1299,2023-10-17,17.28,1300,2023-10-18,16.6,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,17231.6448256,16638.366332,0.0,0.0,593.2784935999989,3.433324615740734
1301,2023-10-19,16.53,1302,2023-10-20,16.4,09:45,fixed_or_trigger_next_interval,target_close,0,False,16483.5265606,16437.964328,0.0,0.0,45.56223260000115,0.27563359104658897
1302,2023-10-20,16.17,1303,2023-10-23,14.55,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,16124.429793400002,14584.245791000001,0.0,0.0,1540.1840024000012,9.524947448361168
1305,2023-10-25,13.54,1306,2023-10-26,13.4,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,13501.0284108,13431.934267999999,0.0,0.0,69.09414280000055,0.5102964756277737
1325,2023-11-22,15.57,1326,2023-11-23,15.49,09:45,fixed_or_trigger_next_interval,target_close,0,False,15525.9351814,15526.135209799999,0.0,0.0,-0.20002839999870048,-0.0012847039177822767
1328,2023-11-27,14.89,1329,2023-11-28,14.77,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,14847.6412878,14804.687995400001,0.0,0.0,42.953292399997736,0.28847073472127427
1334,2023-12-05,14.15,1335,2023-12-06,14.34,09:45,fixed_or_trigger_next_interval,stop_close,0,False,14109.497933,14373.8236868,0.0,0.0,-264.3257537999998,-1.8680265286219067
1340,2023-12-13,15.08,1341,2023-12-14,15.4,09:40,fixed_or_trigger_next_interval,stop_close,0,False,15037.1645816,15435.954307999998,0.0,0.0,-398.7897263999985,-2.6444942068965416
1347,2023-12-22,14.32,1348,2023-12-25,14.2,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,14279.0714064,14233.542284,0.0,0.0,45.52912240000114,0.31794079888268956
1349,2023-12-26,13.87,1350,2023-12-27,14.07,09:40,fixed_or_trigger_next_interval,stop_close,0,False,13830.2004474,14103.2809814,0.0,0.0,-273.0805339999988,-1.9688574909877348
1354,2024-01-03,13.88,1355,2024-01-04,13.78,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,13840.1753576,13812.6980756,0.0,0.0,27.477281999999832,0.19796312680115152
1356,2024-01-05,13.3,1357,2024-01-08,13.27,09:40,fixed_or_trigger_next_interval,target_close,0,False,13261.630566,13301.672965400001,0.0,0.0,-40.04239940000116,-0.30107067218045985
1357,2024-01-08,13.08,1358,2024-01-09,13.48,09:40,fixed_or_trigger_next_interval,stop_close,0,False,13042.1825416,13512.0950696,0.0,0.0,-469.91252800000075,-3.5926034250764585
1372,2024-01-29,13.59,1373,2024-01-30,13.64,09:40,fixed_or_trigger_next_interval,stop_close,0,False,13550.9029618,13672.4166728,0.0,0.0,-121.5137109999996,-0.894140625459894
1373,2024-01-30,13.5,1374,2024-01-31,13.3,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,13461.12877,13331.733266000001,0.0,0.0,129.39550399999825,0.9584852148148019
1406,2024-03-25,23.91,1407,2024-03-26,24.12,09:40,fixed_or_trigger_next_interval,stop_close,0,False,23845.0102882,24173.4816824,0.0,0.0,-328.47139420000167,-1.3737824935173637
1408,2024-03-27,22.41,1409,2024-03-28,22.66,09:45,fixed_or_trigger_next_interval,stop_close,0,False,22348.7737582,22710.5470532,0.0,0.0,-361.77329499999905,-1.6143386657742038
1445,2024-05-24,24.15,1446,2024-05-27,24.92,09:40,fixed_or_trigger_next_interval,stop_close,0,False,24084.408133,24975.0896984,0.0,0.0,-890.6815653999984,-3.6881224240165564
1447,2024-05-28,24.12,1448,2024-05-29,24.48,09:40,fixed_or_trigger_next_interval,stop_close,0,False,24054.483402399997,24534.2052896,0.0,0.0,-479.7218872000012,-1.988896713101166
1450,2024-05-31,22.91,1451,2024-06-03,23.39,09:40,fixed_or_trigger_next_interval,stop_close,0,False,22847.5192682,23442.0143678,0.0,0.0,-594.495099599997,-2.594915319074627
1457,2024-06-12,24.37,1458,2024-06-13,24.98,09:40,fixed_or_trigger_next_interval,stop_close,0,False,24303.856157399998,25035.2102996,0.0,0.0,-731.3541422000017,-3.0010428485843317
1479,2024-07-12,27.26,1480,2024-07-15,27.05,09:40,fixed_or_trigger_next_interval,target_close,0,False,27186.6052052,27109.371041,0.0,0.0,77.23416420000285,0.28332415333823496
1482,2024-07-17,25.95,1483,2024-07-18,24.82,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,25879.891969,24874.8886964,0.0,0.0,1005.003272599999,3.87284498111753
1484,2024-07-19,24.66,1485,2024-07-22,24.49,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,24593.1285532,24544.225389799998,0.0,0.0,48.903163400002086,0.1983096650446151
1495,2024-08-05,20.42,1496,2024-08-06,20.76,09:40,fixed_or_trigger_next_interval,stop_close,0,False,20363.7666284,20806.728015200002,0.0,0.0,-442.9613868000015,-2.1692526287953062
1497,2024-08-07,20.4,1498,2024-08-08,20.0,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,20343.816808,20045.2004,0.0,0.0,298.61640799999805,1.4638059215686179
1519,2024-09-06,18.36,1520,2024-09-09,18.13,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,18250.9351272,18171.4416626,58.0,0.0,79.49346460000015,0.4329709400871468
1539,2024-10-15,24.6,1540,2024-10-16,23.61,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,24475.279092,23662.4565722,58.0,0.0,812.8225198,3.3041565845528456
1541,2024-10-17,23.71,1542,2024-10-18,24.95,09:40,fixed_or_trigger_next_interval,stop_close,0,False,23587.512084200003,25005.149999,58.0,0.0,-1417.6379147999978,-5.979071762125677
1552,2024-11-01,23.68,1553,2024-11-04,24.25,09:40,fixed_or_trigger_next_interval,stop_close,0,False,23615.5873536,24303.742985,0.0,0.0,-688.1556314000009,-2.906062632601355
1561,2024-11-14,24.87,1562,2024-11-15,24.84,10:05,fixed_or_trigger_next_interval,target_close,0,False,24802.6016674,24894.9288968,0.0,0.0,-92.32722940000167,-0.3712393622838829
1562,2024-11-15,23.92,1563,2024-11-18,23.42,09:40,fixed_or_trigger_next_interval,target_close,0,False,23854.9851984,23472.0746684,0.0,0.0,382.910530000001,1.6007965301003386
1563,2024-11-18,23.24,1564,2024-11-19,23.47,09:40,fixed_or_trigger_next_interval,stop_close,0,False,23176.6913048,23522.175169399998,0.0,0.0,-345.4838645999989,-1.4865914999999954
1594,2024-12-31,21.5,1595,2025-01-02,21.2,09:40,fixed_or_trigger_next_interval,target_close,0,False,21441.05693,21247.612424000003,0.0,0.0,193.44450599999618,0.8997418883720752
1595,2025-01-02,20.71,1596,2025-01-03,20.94,10:20,fixed_or_trigger_next_interval,stop_close,0,False,20653.039024200003,20987.089818800003,0.0,0.0,-334.0507945999998,-1.612992731047802
1596,2025-01-03,20.55,1597,2025-01-06,20.82,09:40,fixed_or_trigger_next_interval,stop_close,0,False,20493.440461000002,20866.8486164,0.0,0.0,-373.40815539999676,-1.8170713158150693
1601,2025-01-10,19.75,1602,2025-01-13,19.48,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,19695.447645,19524.1551896,0.0,0.0,171.29245540000193,0.8673035716455794
1612,2025-01-27,21.45,1613,2025-02-05,20.56,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,21391.182378999998,20606.3260112,0.0,0.0,784.8563677999991,3.6590040456876416
1613,2025-02-05,20.0,1614,2025-02-06,20.23,09:40,fixed_or_trigger_next_interval,stop_close,0,False,19944.8204,20275.6627046,0.0,0.0,-330.8423045999989,-1.6542115229999945
1630,2025-02-28,21.19,1631,2025-03-03,21.0,09:40,fixed_or_trigger_next_interval,target_close,0,False,21131.8347138,21047.21042,0.0,0.0,84.62429379999958,0.39935957432751096
1645,2025-03-21,20.63,1646,2025-03-24,20.67,10:30,fixed_or_trigger_next_interval,deadline,0,False,20573.239742600003,20716.5471134,0.0,0.0,-143.30737079999744,-0.6946552147358093
1654,2025-04-03,19.05,1655,2025-04-07,17.15,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,18997.203931,17189.471843,0.0,0.0,1807.7320880000007,9.489407286089243
1775,2025-09-26,64.87,1776,2025-09-29,66.86,09:40,fixed_or_trigger_next_interval,stop_close,0,False,64634.47663619601,67003.460886888,64.0,0.0,-2368.984250691996,-3.6518949448003633
1781,2025-10-14,59.72,1782,2025-10-15,58.72,09:40,fixed_or_trigger_next_interval,target_close,0,False,59498.093798575996,58845.994963776,64.0,0.0,652.0988347999955,1.0919270509042123
1801,2025-11-11,68.03,1802,2025-11-12,66.45,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,67786.121251124,66592.58115366,64.0,0.0,1193.540097464007,1.7544320115596164
1804,2025-11-14,64.27,1805,2025-11-17,65.56,09:40,fixed_or_trigger_next_interval,stop_close,0,False,64100.06310171599,65700.67148884799,0.0,0.0,-1600.6083871320006,-2.490444044082777
1810,2025-11-24,55.94,1811,2025-11-25,56.76,09:40,fixed_or_trigger_next_interval,stop_close,0,False,55792.088531352005,56881.789409808,0.0,0.0,-1089.7008784559948,-1.9479815489023862
1811,2025-11-25,56.61,1812,2025-11-26,55.31,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,56460.316978188,55428.678158148,0.0,0.0,1031.638820039996,1.8223614556438723
1825,2025-12-15,59.14,1826,2025-12-16,59.9,09:40,fixed_or_trigger_next_interval,stop_close,0,False,58983.627381912,60028.526878920005,0.0,0.0,-1044.899497008002,-1.7668236337639533
1858,2026-02-02,55.68,1859,2026-02-03,54.7,10:10,fixed_or_trigger_next_interval,target_close,0,False,55499.775999744,54817.369286760004,33.0,0.0,682.4067129839968,1.225586769008615
1873,2026-03-03,54.88,1874,2026-03-04,53.98,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,54701.891287104,54095.824389384,33.0,0.0,606.0668977200039,1.104349303425663
1885,2026-03-19,50.46,1886,2026-03-20,51.44,09:40,fixed_or_trigger_next_interval,stop_close,0,False,50293.578249768005,51550.374334752,33.0,0.0,-1256.7960849839947,-2.4906779329845317
1887,2026-03-23,47.6,1888,2026-03-24,47.84,09:40,fixed_or_trigger_next_interval,stop_close,0,False,47474.140402080004,47942.649847872,0.0,0.0,-468.5094457919986,-0.984263541579829
1914,2026-04-30,62.88,1915,2026-05-06,63.7,09:55,fixed_or_trigger_next_interval,stop_close,0,False,62713.738413504,63836.68050396,0.0,0.0,-1122.942090456003,-1.785849380496188
1926,2026-05-21,65.5,1927,2026-05-22,65.2,09:45,fixed_or_trigger_next_interval,target_close,0,False,65326.8108474,65339.89904016,0.0,0.0,-13.088192760005768,-0.019981973679398118
1937,2026-06-05,74.06,1938,2026-06-08,69.99,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,73864.177272648,70140.176899092,0.0,0.0,3724.000373556002,5.028355891920068
1942,2026-06-12,70.13,1943,2026-06-15,71.47,09:40,fixed_or_trigger_next_interval,stop_close,0,False,69944.568621804,71623.352521476,0.0,0.0,-1678.7838996719947,-2.3938170535747822
1951,2026-06-26,70.22,1952,2026-06-29,69.3,09:30,fixed_or_trigger_next_interval,observed_gap_then_continuous_open,0,False,70034.330651976,69448.69637244001,0.0,0.0,585.6342795359815,0.8339992588094296
